	MG1655-1	COUM2-4_1	COUM4-2_1	COUM7-6_1	COUM8-6_1	nadR-1	mprA-1	yhjK-1	MG1655-2	COUM2-4_2	COUM4-2_2	COUM7-6_2	COUM8-6_2	nadR-2	mprA-2	yhjK-2	MG1655-3	COUM2-4_3	COUM4-2_3	COUM7-6_3	COUM8-6_3	nadR-3	mprA-3	yhjK-3	ypjA-1	nadR_mprA-1	nadR_yhjK-1	mprA_yhjK-1	ypjA_mprA-1	nadR_mprA_yhjK-1	ypjA_mprA_nadR-1	ypjA_mprA_yhjK-1	ypjA-2	nadR_mprA-2	nadR_yhjK-2	mprA_yhjK-2	ypjA_mprA-2	nadR_mprA_yhjK-2	ypjA_mprA_nadR-2	ypjA_mprA_yhjK-2	ypjA-3	nadR_mprA-3	nadR_yhjK-3	mprA_yhjK-3	ypjA_mprA-3	nadR_mprA_yhjK-3	ypjA_mprA_nadR-3	ypjA_mprA_yhjK-3
0.00483	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054000000000000006	0.0	0.053	0.053	0.062	0.0	0.0	0.0	0.0	0.0	0.209	0.0	0.026000000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.057	0.0	0.0	0.0
0.17142	0.7959999999999999	0.34600000000000003	0.10400000000000001	0.185	0.239	0.212	0.264	0.188	0.106	0.0	0.024	0.0	0.0	0.037000000000000005	0.106	0.29	0.214	0.027000000000000003	0.027999999999999997	0.0	0.026000000000000002	0.0	0.614	0.37200000000000005	0.163	0.188	0.161	0.054000000000000006	0.18600000000000003	0.213	0.0	0.26899999999999996	2.015	0.083	0.08199999999999999	0.24100000000000002	0.055	0.084	0.239	0.191	0.027999999999999997	0.006	0.239	0.161	1.199	0.134	0.18899999999999997	0.322
0.33811	0.284	0.311	0.326	0.32899999999999996	0.305	0.597	0.247	0.33899999999999997	0.121	0.145	0.085	0.092	0.223	0.0	0.27699999999999997	0.382	0.125	0.068	0.363	0.044000000000000004	0.25	0.147	0.6779999999999999	0.361	0.079	0.502	0.153	0.17300000000000001	0.22899999999999998	0.20199999999999999	0.201	0.344	0.047	0.183	0.33799999999999997	0.39399999999999996	0.045	0.18600000000000003	0.309	0.299	0.018000000000000002	0.0	0.256	0.179	0.0	0.17800000000000002	0.317	0.39899999999999997
0.50468	0.27	0.377	0.223	0.5760000000000001	0.501	0.47200000000000003	0.253	0.326	0.158	0.23199999999999998	0.142	0.313	0.28300000000000003	0.225	0.33899999999999997	0.603	0.11	0.239	0.24100000000000002	0.297	0.285	0.371	0.946	0.5329999999999999	0.095	0.491	0.38	0.316	0.4	0.48100000000000004	0.265	0.414	0.06	0.386	0.325	0.302	0.19	0.149	0.401	0.268	0.16399999999999998	0.015	0.375	0.21899999999999997	0.22899999999999998	0.191	0.413	0.285
0.67151	0.424	0.344	0.292	0.701	0.41200000000000003	0.46299999999999997	0.618	0.213	0.312	0.35600000000000004	0.264	0.519	0.461	0.433	0.384	0.568	0.39799999999999996	0.419	0.287	0.48	0.35600000000000004	0.41700000000000004	2.226	0.473	0.307	0.8909999999999999	0.429	0.361	0.528	0.528	0.392	0.519	0.295	0.544	0.373	0.45799999999999996	0.292	0.281	0.449	0.43	0.077	0.14400000000000002	0.449	0.294	0.14400000000000002	0.48	0.46399999999999997	0.41700000000000004
0.83808	0.521	0.46799999999999997	0.303	0.795	0.452	0.396	0.496	0.22899999999999998	0.192	0.369	0.221	0.56	0.501	0.341	0.424	0.5	0.36	0.299	0.275	0.524	0.47600000000000003	0.27	2.048	0.569	0.272	1.072	0.419	0.348	0.544	0.32799999999999996	0.461	0.40299999999999997	0.662	0.48200000000000004	0.49700000000000005	0.47600000000000003	0.28	0.569	0.41100000000000003	0.317	0.065	0.027000000000000003	0.41100000000000003	0.256	0.26899999999999996	0.41600000000000004	0.429	0.302
1.00488	0.502	0.611	0.252	0.909	0.40399999999999997	0.59	0.5539999999999999	0.37200000000000005	0.306	0.34700000000000003	0.17	0.485	0.39799999999999996	0.348	0.51	0.5589999999999999	0.287	0.33299999999999996	0.282	0.6409999999999999	0.48200000000000004	0.384	2.311	0.441	0.228	0.975	0.34700000000000003	0.354	0.578	0.551	0.387	0.386	0.158	0.465	0.424	0.539	0.315	0.31	0.526	0.276	0.153	0.306	0.526	0.345	0.11599999999999999	0.37	0.52	0.475
1.17163	0.784	0.541	0.231	0.7829999999999999	0.467	0.5720000000000001	0.534	0.221	0.316	0.301	0.311	0.629	0.514	0.304	0.49200000000000005	0.54	0.35200000000000004	0.37	0.4	0.626	0.46299999999999997	0.366	2.4459999999999997	0.64	0.187	0.664	0.386	0.41700000000000004	0.643	0.426	0.505	0.589	0.27699999999999997	0.478	0.462	0.47	0.488	0.35100000000000003	0.537	0.48200000000000004	0.136	0.237	0.401	0.32899999999999996	0.317	0.489	0.588	0.354
1.33823	0.32799999999999996	0.6829999999999999	0.364	0.7020000000000001	0.5770000000000001	0.41	0.589	0.19899999999999998	0.455	0.41	0.281	0.604	0.461	0.309	0.466	0.7040000000000001	0.384	0.428	0.377	0.688	0.601	0.505	2.4930000000000003	0.564	0.332	0.51	0.392	0.365	0.675	0.5660000000000001	0.48200000000000004	0.462	0.12	0.623	0.604	0.532	0.5479999999999999	0.496	0.623	0.387	0.168	0.327	0.515	0.281	0.21600000000000003	0.46799999999999997	0.57	0.419
1.5048	0.5920000000000001	0.539	0.381	0.72	0.622	0.618	0.606	0.245	0.31	0.42700000000000005	0.298	0.7859999999999999	0.505	0.409	0.484	0.667	0.267	0.446	0.47700000000000004	0.708	0.591	0.524	2.234	0.718	0.243	0.612	0.41100000000000003	0.465	0.721	0.503	0.528	0.428	0.575	0.589	0.569	0.633	0.649	0.408	0.6970000000000001	0.545	0.268	0.23800000000000002	0.534	0.327	0.48100000000000004	0.48700000000000004	0.59	0.521
1.67152	0.649	0.597	0.38	0.885	0.6509999999999999	0.483	0.551	0.35700000000000004	0.33899999999999997	0.455	0.406	0.706	0.588	0.439	0.594	0.5589999999999999	0.35100000000000003	0.557	0.452	0.7120000000000001	0.401	0.36200000000000004	2.544	0.584	0.302	0.78	0.496	0.35700000000000004	0.588	0.588	0.5579999999999999	0.43200000000000005	0.251	0.621	0.436	0.665	0.462	0.44	0.591	0.579	0.134	0.29600000000000004	0.563	0.33	0.267	0.354	0.595	0.499
1.83823	0.447	0.695	0.42200000000000004	0.845	0.6940000000000001	0.5529999999999999	0.648	0.34600000000000003	0.355	0.498	0.39299999999999996	0.831	0.603	0.373	0.609	0.49200000000000005	0.449	0.49200000000000005	0.46799999999999997	0.8109999999999999	0.498	0.542	2.47	0.682	0.292	0.715	0.623	0.45399999999999996	0.6859999999999999	0.631	0.738	0.6409999999999999	0.267	0.638	0.589	0.627	0.56	0.376	0.662	0.516	0.15	0.149	0.607	0.428	0.44799999999999995	0.562	0.6940000000000001	0.49
2.00498	0.442	0.662	0.335	0.758	0.6609999999999999	0.602	0.67	0.368	0.35	0.465	0.41600000000000004	0.743	0.461	0.313	0.5770000000000001	0.6779999999999999	0.36200000000000004	0.40399999999999997	0.518	0.723	0.575	0.4	2.458	0.622	0.28600000000000003	0.71	0.426	0.42200000000000004	0.735	0.434	0.705	0.444	0.262	0.632	0.583	0.621	0.5539999999999999	0.452	0.82	0.51	0.22699999999999998	0.307	0.465	0.423	0.633	0.447	0.852	0.511
2.17148	1.071	0.636	0.496	0.784	0.66	0.491	0.723	0.231	0.40299999999999997	0.573	0.41200000000000003	0.934	0.65	0.449	0.684	0.594	0.307	0.45799999999999996	0.736	0.7509999999999999	0.574	0.426	2.544	0.7040000000000001	0.315	0.903	0.48100000000000004	0.475	0.708	0.5710000000000001	0.595	0.555	0.344	0.6609999999999999	0.611	0.623	0.637	0.48100000000000004	0.684	0.48700000000000004	0.19899999999999998	0.254	0.547	0.396	0.47	0.584	0.718	0.541
2.33822	0.7559999999999999	0.7040000000000001	0.511	0.853	0.674	0.56	0.71	0.272	0.39	0.505	0.34600000000000003	0.8109999999999999	0.556	0.518	0.617	0.5	0.375	0.418	0.47700000000000004	0.764	0.506	0.385	2.569	0.609	0.32799999999999996	0.642	0.522	0.462	0.7490000000000001	0.612	0.5820000000000001	0.623	0.9590000000000001	0.7020000000000001	0.597	0.636	0.623	0.467	0.67	0.5529999999999999	0.268	0.185	0.5329999999999999	0.382	1.194	0.488	0.703	0.444
2.50489	0.41200000000000003	0.797	0.575	0.863	0.794	0.598	0.6659999999999999	0.39299999999999996	0.319	0.406	0.41	0.767	0.5660000000000001	0.364	0.7090000000000001	0.619	0.413	0.456	0.48700000000000004	0.831	0.5710000000000001	0.588	2.62	0.619	0.258	0.599	0.615	0.445	0.8420000000000001	0.568	0.565	0.49700000000000005	0.259	0.659	0.47100000000000003	0.565	0.49700000000000005	0.396	0.708	0.5660000000000001	0.087	0.251	0.599	0.366	0.385	0.499	0.715	0.374
2.67162	0.349	0.7070000000000001	0.428	0.9359999999999999	0.785	0.698	0.6829999999999999	0.33	0.255	0.506	0.509	0.922	0.638	0.38299999999999995	0.563	0.637	0.433	0.474	0.506	0.768	0.507	0.414	2.47	0.72	0.415	1.195	0.498	0.573	0.861	0.642	0.612	0.655	0.525	0.597	0.655	0.64	0.599	0.499	0.728	0.588	0.133	0.326	0.508	0.385	0.405	0.491	0.763	0.614
2.83825	0.374	0.758	0.511	0.99	0.7559999999999999	0.506	0.792	0.436	0.39	0.505	0.51	0.838	0.6920000000000001	0.381	0.589	0.5820000000000001	0.321	0.5	0.47700000000000004	0.8190000000000001	0.506	0.467	2.597	0.691	0.38299999999999995	0.642	0.467	0.517	0.7490000000000001	0.557	0.7190000000000001	0.568	0.795	0.537	0.542	0.69	0.568	0.631	0.6970000000000001	0.526	0.076	0.24	0.5329999999999999	0.355	0.401	0.406	0.731	0.526
3.00492	0.428	0.649	0.508	0.961	0.81	0.805	0.6809999999999999	0.382	0.335	0.531	0.506	0.865	0.6629999999999999	0.46299999999999997	0.643	0.634	0.348	0.444	0.586	0.7659999999999999	0.586	0.5760000000000001	2.71	0.581	0.193	0.616	0.46799999999999997	0.461	0.8029999999999999	0.557	0.609	0.597	0.275	0.649	0.652	0.555	0.486	0.441	0.78	0.502	0.13	0.35	0.423	0.382	0.348	0.598	0.6779999999999999	0.529
3.17162	0.595	0.7070000000000001	0.51	0.8809999999999999	0.785	0.534	0.601	0.467	0.502	0.451	0.509	0.84	0.748	0.35600000000000004	0.7	0.6920000000000001	0.433	0.474	0.6709999999999999	0.7140000000000001	0.589	0.442	2.552	0.638	0.278	0.537	0.662	0.491	0.779	0.505	0.612	0.573	0.44299999999999995	0.652	0.545	0.64	0.599	0.526	0.81	0.506	0.106	0.271	0.508	0.385	0.488	0.573	0.763	0.532
3.33841	1.107	0.616	0.53	0.846	0.695	0.636	0.6759999999999999	0.376	0.247	0.526	0.584	0.8320000000000001	0.631	0.348	0.61	0.629	0.397	0.439	0.7170000000000001	0.76	0.527	0.35200000000000004	2.48	0.5479999999999999	0.26899999999999996	0.611	0.489	0.456	0.7709999999999999	0.634	0.6579999999999999	0.564	0.489	0.643	0.564	0.631	0.508	0.435	0.774	0.551	0.18	0.317	0.61	0.40399999999999997	1.081	0.674	0.672	0.55
3.50495	0.494	0.88	0.517	1.054	0.738	0.6509999999999999	0.8	0.256	0.4	0.514	0.5429999999999999	0.7659999999999999	0.6459999999999999	0.474	0.626	0.617	0.276	0.48200000000000004	0.679	0.777	0.514	0.505	2.2680000000000002	0.6459999999999999	0.342	0.546	0.479	0.47100000000000003	0.897	0.568	0.675	0.444	0.396	0.523	0.499	0.594	0.58	1.358	0.7909999999999999	0.515	0.141	0.28	0.489	0.39299999999999996	0.688	0.609	0.69	0.486
3.6717	0.513	0.7070000000000001	0.675	1.046	0.703	0.534	0.738	0.5489999999999999	0.392	0.5329999999999999	0.591	0.785	0.721	0.35600000000000004	0.618	0.61	0.35	0.447	0.753	0.7959999999999999	0.589	0.524	2.552	0.72	0.251	0.701	0.58	0.546	0.861	0.669	0.6659999999999999	0.6	0.306	0.597	0.655	0.7490000000000001	0.763	0.444	0.782	0.478	0.215	0.326	0.645	0.467	0.35100000000000003	0.601	0.6809999999999999	0.47700000000000004
3.83834	0.57	0.764	0.598	0.94	0.598	0.62	0.797	0.305	0.478	0.593	0.6509999999999999	0.9259999999999999	0.698	0.441	0.677	0.696	0.545	0.5870000000000001	0.81	0.825	0.593	0.418	2.5810000000000004	0.6409999999999999	0.389	0.593	0.637	0.467	0.7809999999999999	0.563	0.642	0.574	0.335	0.653	0.63	0.7240000000000001	1.0390000000000001	0.336	0.9490000000000001	0.395	0.109	0.245	0.593	0.36	0.462	0.5760000000000001	0.818	0.614
4.00509	0.54	0.7879999999999999	0.841	0.856	0.677	0.59	0.6579999999999999	0.384	0.365	0.508	0.758	0.8959999999999999	0.531	0.384	0.674	0.53	0.37799999999999995	0.502	0.807	0.767	0.563	0.49700000000000005	2.274	0.557	0.304	0.645	0.607	0.38299999999999995	0.833	0.5329999999999999	0.557	0.489	0.33299999999999996	0.7040000000000001	0.545	0.611	0.5710000000000001	0.415	0.7	0.529	0.106	0.243	0.618	0.303	0.377	0.627	0.733	0.502
4.17172	0.494	0.633	0.7120000000000001	0.863	0.767	0.68	0.72	0.475	0.401	0.516	0.765	0.904	0.703	0.474	0.682	0.865	0.386	0.5920000000000001	0.898	0.748	0.516	0.56	2.347	0.565	0.312	0.654	0.5329999999999999	0.445	0.8690000000000001	0.705	0.647	0.634	0.5870000000000001	0.5760000000000001	0.526	0.62	0.579	0.8340000000000001	0.872	0.5660000000000001	0.16899999999999998	0.196	0.599	0.311	0.7959999999999999	0.499	0.715	0.5379999999999999
4.33827	0.486	0.706	0.705	0.91	0.759	0.508	0.685	0.302	0.44799999999999995	0.508	0.895	0.9229999999999999	0.64	0.43799999999999994	0.674	0.612	0.48700000000000004	0.53	0.971	0.767	0.509	0.47	2.739	0.693	0.222	0.727	0.47	0.43700000000000006	0.915	0.5329999999999999	0.721	0.653	1.126	0.622	0.518	0.639	0.489	0.49700000000000005	0.755	0.556	0.188	0.297	0.45399999999999996	0.385	0.486	0.545	0.706	0.502
4.50504	0.56	0.7809999999999999	0.695	0.8740000000000001	0.6679999999999999	0.69	0.73	0.40399999999999997	0.494	0.581	0.9940000000000001	0.997	0.713	0.485	0.637	0.629	0.26	0.603	1.128	0.8690000000000001	0.609	0.406	2.206	0.657	0.26899999999999996	0.611	0.40700000000000003	0.5379999999999999	0.853	0.579	0.74	0.591	0.434	0.67	0.701	0.5760000000000001	0.6729999999999999	0.654	0.8009999999999999	0.551	0.207	0.20800000000000002	0.61	0.45899999999999996	0.424	0.5920000000000001	0.754	0.55
4.67166	0.573	0.795	0.789	1.024	0.7909999999999999	0.539	0.716	0.418	0.562	0.621	1.034	1.092	0.561	0.306	0.787	0.642	0.41100000000000003	0.6990000000000001	1.1420000000000001	0.856	0.622	0.529	2.6460000000000004	0.561	0.33899999999999997	0.872	0.586	0.496	0.894	0.51	0.6990000000000001	0.606	0.44799999999999995	0.685	0.578	0.755	0.604	2.013	0.87	0.5670000000000001	0.193	0.27699999999999997	0.623	0.473	0.41100000000000003	0.524	0.769	0.5379999999999999
4.83842	2.7680000000000002	0.5529999999999999	0.879	0.948	0.715	0.573	0.613	0.313	0.40299999999999997	0.655	1.014	1.207	0.65	0.36700000000000005	0.63	0.7040000000000001	0.389	0.622	1.119	0.915	0.43700000000000006	0.426	2.4619999999999997	0.622	0.261	0.7659999999999999	0.645	0.475	0.708	0.625	0.677	0.555	0.289	0.634	0.556	0.568	0.5820000000000001	0.48100000000000004	0.875	0.48700000000000004	0.172	0.309	0.684	0.368	0.38799999999999996	0.557	0.745	0.514
5.00511	0.6609999999999999	0.772	0.851	0.9209999999999999	0.77	0.71	0.805	0.368	0.376	0.682	1.2329999999999999	1.344	0.623	0.449	0.794	0.594	0.33399999999999996	0.54	1.311	0.915	0.574	0.39899999999999997	2.517	0.622	0.34299999999999997	0.7390000000000001	0.727	0.44799999999999995	0.872	0.625	0.677	0.5820000000000001	0.426	0.579	0.638	0.705	0.637	0.591	0.7929999999999999	0.541	0.19899999999999998	0.254	0.602	0.396	0.47	0.474	0.882	0.541
5.17165	1.025	0.8079999999999999	0.941	0.9279999999999999	0.723	0.608	0.703	0.568	0.41100000000000003	0.745	1.268	1.517	0.5760000000000001	0.402	0.637	0.794	0.397	0.5479999999999999	1.4569999999999999	0.924	0.581	0.489	2.616	0.657	0.26899999999999996	0.528	0.462	0.483	0.7979999999999999	0.579	0.6579999999999999	0.564	0.599	0.643	0.647	0.631	0.6729999999999999	0.435	0.8009999999999999	0.578	0.125	0.317	0.555	0.40399999999999997	0.972	0.7290000000000001	0.727	0.632
5.33843	0.557	0.805	1.048	1.117	0.693	0.633	0.618	0.456	0.546	0.77	1.32	1.76	0.546	0.4	0.7170000000000001	0.818	0.312	0.628	1.399	1.003	0.49700000000000005	0.513	2.309	0.627	0.349	0.8540000000000001	0.541	0.48	0.795	0.5489999999999999	0.6559999999999999	0.588	0.377	0.722	0.48	0.7929999999999999	0.588	0.43200000000000005	0.8809999999999999	0.466	0.177	0.424	0.552	0.374	0.805	0.562	0.8059999999999999	0.465
5.50503	0.5760000000000001	0.825	1.203	1.136	0.711	0.541	0.828	0.42	0.5920000000000001	0.925	1.4480000000000002	1.945	0.591	0.419	0.708	0.727	0.441	0.784	1.6380000000000001	1.1059999999999999	0.597	0.532	2.6519999999999997	0.838	0.424	0.71	0.588	0.499	0.787	0.568	0.62	0.609	0.396	0.606	0.581	0.6759999999999999	0.607	0.59	0.873	0.488	0.114	0.28	0.5710000000000001	0.42100000000000004	0.524	0.664	0.8270000000000001	0.568
5.67177	1.88	0.8959999999999999	1.3840000000000001	1.18	0.618	0.696	0.818	0.382	0.41700000000000004	1.079	1.6840000000000002	2.0980000000000003	0.636	0.38	0.615	0.607	0.485	0.882	1.8459999999999999	1.204	0.614	0.494	2.327	0.718	0.439	0.753	0.495	0.5429999999999999	0.858	0.557	0.773	0.597	0.5770000000000001	0.649	0.57	0.8290000000000001	0.6509999999999999	0.523	0.9440000000000001	0.585	0.212	0.268	0.56	0.547	0.485	0.68	0.815	0.611
5.83843	3.2030000000000003	0.879	1.4509999999999998	1.192	0.6579999999999999	0.7070000000000001	0.802	0.39299999999999996	0.565	1.172	1.751	2.436	0.621	0.392	0.682	0.674	0.413	0.948	1.965	1.268	0.598	0.478	2.511	0.7290000000000001	0.34	0.763	0.5329999999999999	0.445	0.8420000000000001	0.541	0.647	0.58	0.368	0.795	0.526	0.7290000000000001	0.6609999999999999	0.506	0.845	0.484	0.196	0.33299999999999996	0.599	0.39299999999999996	0.878	0.5539999999999999	0.797	0.62
6.00514	0.642	0.945	1.571	1.449	0.805	0.444	0.703	0.568	0.466	1.238	1.953	2.694	0.713	0.485	0.774	0.7120000000000001	0.397	0.9590000000000001	2.305	1.527	0.581	0.598	2.452	0.8220000000000001	0.406	0.665	0.626	0.5379999999999999	0.88	0.551	0.6859999999999999	0.564	0.379	0.588	0.619	0.7959999999999999	0.755	1.722	0.8009999999999999	0.578	0.289	0.20800000000000002	0.555	0.377	0.561	0.51	0.809	0.523
6.17177	0.852	0.8540000000000001	1.7819999999999998	1.55	0.852	0.601	0.723	0.395	0.376	1.5030000000000001	2.273	3.0410000000000004	0.705	0.531	0.684	0.622	0.58	0.978	2.488	1.6	0.491	0.508	2.298	0.731	0.397	1.012	0.618	0.475	0.872	0.708	0.76	0.5820000000000001	0.289	0.716	0.72	0.8140000000000001	0.637	1.412	1.012	0.541	0.172	0.254	0.684	0.396	0.47	0.721	0.882	0.45899999999999996
6.33849	0.639	1.052	2.0340000000000003	1.72	0.802	0.606	0.728	0.483	0.46399999999999997	1.536	2.525	3.321	0.738	0.4	0.7170000000000001	0.736	0.312	1.23	2.713	1.825	0.6609999999999999	0.596	2.528	0.627	0.321	0.909	0.623	0.48	0.932	0.631	0.765	0.588	0.377	0.585	0.644	0.7929999999999999	0.642	0.597	0.963	0.5479999999999999	0.204	0.397	0.607	0.456	0.64	0.644	0.833	0.52
6.50525	0.9129999999999999	0.805	2.253	1.692	0.775	0.606	0.701	0.483	0.409	1.7	2.635	3.8689999999999998	0.6559999999999999	0.4	0.635	0.736	0.5589999999999999	1.3940000000000001	2.9589999999999996	1.9340000000000002	0.524	0.513	2.611	0.737	0.266	0.772	0.541	0.48	0.85	0.713	0.738	0.725	0.267	0.7490000000000001	0.644	0.6559999999999999	0.9159999999999999	0.43200000000000005	0.9359999999999999	0.466	0.122	0.342	0.607	0.401	0.504	0.507	0.7509999999999999	0.602
6.67178	0.907	1.046	2.4930000000000003	2.043	0.77	0.6829999999999999	0.723	0.532	0.40299999999999997	2.16	3.258	4.218	0.705	0.5589999999999999	0.602	0.622	0.58	1.608	3.281	2.256	0.519	0.563	2.517	0.731	0.315	0.684	0.536	0.612	0.927	0.735	0.732	0.665	0.426	0.7979999999999999	0.611	0.65	0.8009999999999999	0.509	0.9570000000000001	0.541	0.254	0.391	0.629	0.451	1.072	0.584	0.8	0.596
6.83838	0.584	0.997	2.5810000000000004	2.048	0.72	0.688	0.728	0.401	0.381	2.412	3.511	4.7989999999999995	0.738	0.455	0.7170000000000001	0.682	0.47600000000000003	1.778	3.7260000000000004	2.537	0.606	0.65	2.693	0.8190000000000001	0.431	0.909	0.541	0.562	0.877	0.6579999999999999	0.847	0.753	0.568	0.8320000000000001	0.835	0.711	0.642	0.898	1.182	0.5479999999999999	0.204	0.424	0.607	0.5379999999999999	0.504	0.562	0.8059999999999999	0.465
7.00517	0.795	1.099	3.122	2.6439999999999997	0.7929999999999999	1.227	0.883	0.42	0.647	2.57	3.888	5.343999999999999	0.8109999999999999	0.501	0.735	0.8370000000000001	0.441	1.8259999999999998	4.078	2.7239999999999998	0.898	0.5870000000000001	2.57	0.7290000000000001	0.342	0.847	0.6709999999999999	0.5529999999999999	0.9790000000000001	0.732	0.8390000000000001	0.664	0.506	0.743	0.718	0.813	0.6890000000000001	0.508	1.147	0.57	0.196	0.41700000000000004	0.7909999999999999	0.503	0.524	0.746	0.8540000000000001	0.65
7.17188	0.65	1.445	3.385	2.6060000000000003	0.677	0.618	0.877	0.466	0.557	2.86	4.2860000000000005	5.872999999999999	0.777	0.52	0.8109999999999999	0.6940000000000001	0.542	2.17	4.553999999999999	3.0639999999999996	0.591	0.552	2.411	0.611	0.222	0.809	0.716	0.519	0.915	0.615	0.8029999999999999	0.7070000000000001	0.49700000000000005	0.622	0.682	0.639	0.708	0.552	1.165	0.556	0.106	0.489	0.7	0.467	0.40399999999999997	0.573	0.733	0.529
7.33858	0.7759999999999999	1.545	3.676	2.815	0.857	0.715	0.7829999999999999	0.483	0.8190000000000001	3.343	4.962	6.524	0.875	0.455	0.799	0.736	0.504	2.4619999999999997	5.0680000000000005	3.248	0.606	0.65	2.4459999999999997	0.929	0.321	0.8270000000000001	0.623	0.535	0.9590000000000001	0.74	0.847	0.643	0.76	0.667	0.835	0.7929999999999999	0.752	0.6509999999999999	1.127	0.493	0.204	0.479	0.607	0.483	0.586	0.562	0.8059999999999999	0.711
7.5052	0.7020000000000001	1.4709999999999999	4.206	3.262	0.7829999999999999	0.723	0.79	0.546	0.5539999999999999	3.736	5.3	7.275	0.8	0.46299999999999997	0.725	0.799	0.485	2.8819999999999997	5.928	3.889	0.614	0.6579999999999999	2.628	0.6629999999999999	0.41200000000000003	0.835	0.632	0.5429999999999999	1.023	0.7490000000000001	0.828	0.679	0.44	0.758	0.7070000000000001	0.7190000000000001	0.6779999999999999	0.496	1.1909999999999998	0.667	0.10300000000000001	0.433	0.6970000000000001	0.49200000000000005	0.649	0.8170000000000001	0.733	0.693
7.67194	0.6659999999999999	1.49	4.47	3.554	0.72	0.715	0.7829999999999999	0.647	0.546	4.3839999999999995	5.646	7.8660000000000005	0.792	0.37200000000000005	0.69	0.736	0.39399999999999996	3.147	6.081	4.207	0.524	0.568	2.528	0.792	0.349	0.991	0.6509999999999999	0.645	1.014	0.795	0.82	0.588	0.377	0.7490000000000001	0.7809999999999999	0.7929999999999999	0.807	0.7340000000000001	1.3459999999999999	0.575	0.177	0.424	0.7709999999999999	0.5379999999999999	0.64	0.507	0.888	0.547
7.83862	0.893	1.743	5.077	3.833	0.838	0.56	0.792	0.6	0.445	4.798	6.36	8.603	0.884	0.46299999999999997	0.753	0.691	0.457	3.589	6.847	4.729	0.67	0.55	2.405	0.718	0.301	1.08	0.713	0.517	1.077	0.8029999999999999	0.91	0.568	0.631	0.7020000000000001	0.624	0.718	0.705	0.631	1.271	0.5529999999999999	0.24	0.45799999999999996	0.752	0.519	0.7020000000000001	0.625	0.867	0.608
8.00525	0.633	1.84	5.723	4.369	0.797	0.628	0.86	0.56	0.486	5.444	7.417999999999999	9.691	1.006	0.531	0.7120000000000001	0.7859999999999999	0.47100000000000003	4.043	7.468999999999999	5.267	0.6559999999999999	0.672	2.5989999999999998	0.7859999999999999	0.34299999999999997	1.094	0.645	0.557	1.091	0.708	0.8959999999999999	0.637	0.563	0.826	0.72	0.8690000000000001	0.828	0.591	1.5319999999999998	0.541	0.172	0.5820000000000001	0.684	0.6970000000000001	0.7170000000000001	0.721	0.8	0.623
