	MG1655-1	COUM4-2_1	MG1655-2	COUM4-2_2	MG1655-3	COUM4-2_3	nadR_rpoA-1	nadR_rpoA-2	nadR_rpoA-3
0.0049	0.159	0.076	0.0	0.0	0.0	0.0	0.159	0.09699999999999999	0.0
0.17154	0.11900000000000001	0.12	0.16	0.402	0.0	0.05	0.257	0.02	0.314
0.33821	0.061	0.135	0.228	1.069	0.004	0.069	0.061	0.028999999999999998	0.245
0.50491	0.115	0.0	0.165	1.0959999999999999	0.11199999999999999	0.105	0.22	0.294	0.271
0.67168	0.115	0.10400000000000001	0.26899999999999996	0.887	0.11199999999999999	0.105	0.185	0.085	0.271
0.83833	0.209	0.025	0.327	1.081	0.03	0.026000000000000002	0.0	0.213	0.261
1.00504	0.231	0.044000000000000004	0.281	1.111	0.054000000000000006	0.15	0.231	0.13	0.386
1.17171	0.249	0.23399999999999999	0.266	0.927	0.14400000000000002	0.131	0.214	0.14800000000000002	0.43799999999999994
1.33838	0.0	0.025	0.222	0.977	0.1	0.13	0.348	0.109	0.4
1.5051	0.214	0.129	0.301	0.927	0.14400000000000002	0.166	0.249	0.14800000000000002	0.43799999999999994
1.67176	0.12300000000000001	0.215	0.34700000000000003	0.792	0.22399999999999998	0.21600000000000003	0.22699999999999998	0.127	0.38299999999999995
1.83851	0.231	0.218	0.35100000000000003	1.0759999999999998	0.263	0.254	0.336	0.2	0.316
2.0052	0.28600000000000003	0.136	0.335	1.091	0.212	0.20600000000000002	0.321	0.11599999999999999	0.40700000000000003
2.17193	0.209	0.19899999999999998	0.327	0.733	0.239	0.235	0.314	0.17800000000000002	0.505
2.33854	0.231	0.253	0.24600000000000002	0.867	0.263	0.254	0.336	0.13	0.386
2.50521	0.284	0.174	0.33	1.006	0.311	0.209	0.284	0.15	0.33799999999999997
2.67196	0.33399999999999996	0.11699999999999999	0.207	0.8170000000000001	0.327	0.187	0.299	0.19899999999999998	0.35100000000000003
2.83866	0.205	0.126	0.32299999999999995	1.0759999999999998	0.27	0.336	0.31	0.175	0.397
3.00544	0.11199999999999999	0.136	0.265	1.091	0.247	0.20600000000000002	0.321	0.18600000000000003	0.47700000000000004
3.17206	0.261	0.079	0.307	1.125	0.254	0.218	0.261	0.16	0.452
3.33875	0.17300000000000001	0.063	0.28800000000000003	1.204	0.40700000000000003	0.306	0.41600000000000004	0.247	0.331
3.50542	0.271	0.12300000000000001	0.215	1.141	0.266	0.507	0.271	0.067	0.46299999999999997
3.67213	0.156	0.114	0.307	1.23	0.462	0.28800000000000003	0.295	0.16	0.48700000000000004
3.83884	0.264	0.187	0.207	1.722	0.223	0.29100000000000004	0.264	0.16399999999999998	0.456
4.00553	0.295	0.218	0.446	1.925	0.462	0.32299999999999995	0.295	0.16	0.38299999999999995
4.17221	0.255	0.149	0.299	1.868	0.38299999999999995	0.35600000000000004	0.29	0.156	0.449
4.33888	0.381	0.168	0.28800000000000003	1.899	0.33799999999999997	0.48	0.27699999999999997	0.073	0.435
4.50555	0.252	0.284	0.364	1.62	0.275	0.457	0.252	0.11699999999999999	0.41100000000000003
4.67236	0.20600000000000002	0.275	0.353	2.124	0.263	0.48200000000000004	0.24100000000000002	0.21100000000000002	0.435
4.83904	0.24100000000000002	0.379	0.28300000000000003	2.263	0.36700000000000005	0.551	0.24100000000000002	0.037000000000000005	0.539
5.00574	0.081	0.221	0.364	2.092	0.273	0.67	0.358	0.22399999999999998	0.379
5.17237	0.201	0.309	0.413	2.273	0.322	0.653	0.305	0.171	0.397
5.3391	0.201	0.413	0.309	2.412	0.426	0.826	0.408	0.20600000000000002	0.397
5.50574	0.183	0.397	0.324	2.592	0.302	0.843	0.287	0.084	0.276
5.67238	0.138	0.42200000000000004	0.313	2.541	0.29	0.902	0.276	0.142	0.369
5.83914	0.21	0.494	0.317	5.685	0.32899999999999996	0.94	0.27899999999999997	0.077	0.373
6.00589	0.21	0.597	0.42	5.409	0.32899999999999996	1.251	0.314	0.146	0.442
6.17254	0.265	0.619	0.40399999999999997	6.143	0.41600000000000004	1.5119999999999998	0.368	0.166	0.428
6.33937	0.18899999999999997	0.75	0.36200000000000004	6.268	0.408	1.643	0.292	0.021	0.455
6.50594	0.196	0.826	0.40399999999999997	6.763	0.278	1.857	0.299	0.235	0.428
6.67258	0.2	0.932	0.20199999999999999	6.872999999999999	0.316	2.0669999999999997	0.2	0.135	0.36200000000000004
6.83929	0.254	1.126	0.39299999999999996	7.398	0.19699999999999998	2.294	0.35700000000000004	0.052000000000000005	0.314
7.00598	0.024	1.273	0.473	7.728	0.278	2.787	0.299	0.132	0.324
7.17272	0.16399999999999998	1.449	0.163	8.425	0.276	2.9930000000000003	0.336	0.203	0.294
7.33936	0.03	1.659	0.16699999999999998	8.568999999999999	0.349	3.513	0.33899999999999997	0.0	0.297
7.50608	0.225	1.9580000000000002	0.327	8.857999999999999	0.268	3.9130000000000003	0.32899999999999996	0.127	0.287
7.67284	0.11199999999999999	2.084	0.247	9.901	0.256	4.485	0.249	0.08199999999999999	0.27699999999999997
7.83944	0.16699999999999998	2.519	0.33899999999999997	10.357000000000001	0.28	4.785	0.33899999999999997	0.10300000000000001	0.331
8.00621	0.249	2.805	0.35	11.206	0.256	5.274	0.318	0.08199999999999999	0.311
8.17284	0.063	3.202	0.231	11.931	0.41200000000000003	6.662999999999999	0.303	0.171	0.297
8.33953	0.067	3.412	0.304	12.35	0.313	6.9079999999999995	0.307	0.003	0.369
8.50624	0.09699999999999999	3.888	0.43700000000000006	12.72	0.20600000000000002	7.28	0.33799999999999997	0.171	0.4
8.67291	0.249	4.213	0.315	14.537	0.256	7.849	0.318	0.11599999999999999	0.414
8.83959	0.217	4.724	0.38299999999999995	14.53	0.32299999999999995	9.037	0.285	0.359	0.38299999999999995
9.0063	0.179	5.5760000000000005	0.311	15.549000000000001	0.217	9.545	0.282	0.081	0.345
9.17304	0.165	5.968999999999999	0.29600000000000004	15.789000000000001	0.37200000000000005	10.789000000000001	0.165	0.067	0.332
9.33975	0.213	6.535	0.311	17.090999999999998	0.217	11.017999999999999	0.282	0.081	0.345
9.50655	0.066	7.582000000000001	0.299	17.851	0.376	12.335	0.374	0.139	0.43799999999999994
9.6731	0.257	7.87	0.387	19.729	0.36	13.404000000000002	0.39299999999999996	0.159	0.424
9.83974	0.171	8.972000000000001	0.36700000000000005	20.227999999999998	0.47700000000000004	13.987	0.341	0.21	0.441
10.00658	0.327	9.087	0.35200000000000004	20.496	0.222	14.880999999999998	0.259	0.09300000000000001	0.325
10.17318	0.228	9.843	0.35600000000000004	20.608	0.36200000000000004	15.298	0.365	0.19899999999999998	0.397
10.33994	0.214	10.844000000000001	0.442	21.796	0.244	15.815	0.316	0.185	0.315
10.50655	0.295	12.307	0.385	21.974	0.425	18.632	0.397	0.095	0.363
10.67329	0.22699999999999998	12.341	0.215	23.301	0.322	16.896	0.295	0.16399999999999998	0.465
10.84001	0.28800000000000003	13.145	0.479	23.11	0.315	18.515	0.322	0.08800000000000001	0.35600000000000004
11.00669	0.22699999999999998	13.668	0.48700000000000004	22.995	0.391	18.87	0.295	0.16399999999999998	0.397
11.17333	0.22	14.914000000000001	0.377	23.995	0.519	19.229	0.322	0.156	0.35600000000000004
11.33996	0.184	15.695	0.271	24.771	0.34299999999999997	20.779	0.28600000000000003	0.155	0.424
11.50668	0.256	16.585	0.546	24.748	0.381	20.312	0.35700000000000004	0.125	0.36
11.67347	0.17	16.549	0.561	25.44	0.361	20.645	0.475	0.141	0.41100000000000003
11.84013	0.188	16.144000000000002	0.478	26.649	0.34700000000000003	20.312	0.493	0.159	0.462
12.0068	0.159	16.9	0.414	27.372	0.349	21.500999999999998	0.32899999999999996	0.131	0.4
12.17348	0.25	17.250999999999998	0.402	28.081999999999997	0.54	22.254	0.35200000000000004	0.086	0.424
12.34021	0.28600000000000003	17.557000000000002	0.469	28.384	0.268	22.109	0.28600000000000003	0.055	0.39399999999999996
12.50693	0.322	18.680999999999997	0.507	29.956	0.511	22.906	0.35600000000000004	0.225	0.39399999999999996
12.6736	0.313	19.062	0.36	30.319000000000003	0.361	23.409000000000002	0.313	0.08199999999999999	0.455
12.84036	0.191	19.285	0.337	30.449	0.37200000000000005	23.456999999999997	0.359	0.061	0.46799999999999997
13.00696	0.292	19.825	0.43799999999999994	31.089000000000002	0.473	24.096999999999998	0.359	0.162	0.434
13.17361	0.33799999999999997	21.427	0.348	32.766	0.314	24.851	0.33799999999999997	0.141	0.515
13.34038	0.368	22.394000000000002	0.41100000000000003	31.71	0.41100000000000003	24.842	0.267	0.037000000000000005	0.41100000000000003
13.50703	0.345	23.228	0.456	32.118	0.423	25.846	0.278	0.115	0.45399999999999996
13.67379	0.226	23.857	0.40399999999999997	32.661	0.40299999999999997	27.986	0.327	0.131	0.43799999999999994
13.84041	0.345	24.305999999999997	0.423	33.397	0.423	27.193	0.379	0.14800000000000002	0.522
14.0071	0.32	25.184	0.598	34.249	0.396	27.326999999999998	0.455	0.292	0.7
14.17376	0.31	26.4	0.485	34.311	0.41700000000000004	28.238000000000003	0.31	0.113	0.6890000000000001
14.34056	0.40299999999999997	26.045	0.511	34.621	0.309	27.815	0.303	0.073	0.6829999999999999
14.50719	0.327	26.985	0.5379999999999999	35.015	0.43700000000000006	28.456	0.428	0.198	0.639
14.67389	0.354	27.605	0.631	35.123000000000005	0.396	28.066999999999997	0.42100000000000004	0.191	0.599
14.84058	0.35700000000000004	27.581	0.534	34.867	0.4	29.287	0.35700000000000004	0.195	0.838
15.0073	0.473	28.596	0.55	35.795	0.516	29.766	0.37200000000000005	0.209	0.852
15.17405	0.435	29.831	0.546	36.792	0.546	29.049	0.33399999999999996	0.138	0.915
15.34064	0.444	28.785	0.485	36.159	0.41700000000000004	29.784000000000002	0.511	0.113	0.925
15.50737	0.5379999999999999	30.209	0.578	36.468	0.5770000000000001	30.569000000000003	0.40299999999999997	0.174	0.985
15.67403	0.526	29.363000000000003	0.635	37.793	0.4	31.406	0.425	0.127	1.0390000000000001
15.84068	0.414	30.475	0.7240000000000001	38.289	0.489	29.66	0.44799999999999995	0.285	1.13
16.00743	0.41	30.901	0.586	37.637	0.585	30.656999999999996	0.444	0.214	1.227
16.17409	0.426	31.151	0.6	38.071	0.39799999999999996	31.309	0.493	0.19699999999999998	1.209
16.34091	0.41200000000000003	31.51	0.551	38.418	0.55	31.266	0.479	0.08199999999999999	1.396
16.50758	0.624	32.213	0.596	39.433	0.494	31.969	0.423	0.193	1.575
16.67424	0.423	32.18	0.596	38.996	0.494	32.942	0.49	0.294	1.474
16.84086	0.616	32.794000000000004	0.523	39.129	0.42100000000000004	32.314	0.414	0.218	1.8019999999999998
17.00766	0.6459999999999999	32.783	0.72	40.19	0.317	32.606	0.612	0.214	1.6969999999999998
17.17434	0.601	33.757	0.742	39.878	0.573	33.378	0.433	0.17	1.9880000000000002
17.34094	0.684	33.6	0.555	41.215	0.48700000000000004	33.523	0.382	0.253	2.238
17.50776	0.513	34.326	0.484	41.736000000000004	0.483	34.149	0.41200000000000003	0.28300000000000003	2.2680000000000002
17.67433	0.569	34.191	0.573	41.792	0.5710000000000001	33.813	0.46799999999999997	0.273	2.457
17.84113	0.695	34.909	0.5670000000000001	41.192	0.599	34.798	0.493	0.297	2.6860000000000004
18.00775	0.613	34.929	0.685	41.401	0.55	34.751999999999995	0.513	0.28300000000000003	2.938
18.17441	0.6509999999999999	35.607	0.5539999999999999	42.956	0.451	35.396	0.451	0.322	3.141
18.34108	0.727	35.551	0.635	42.06399999999999	0.601	35.609	0.45799999999999996	0.32899999999999996	3.6289999999999996
18.50783	0.725	36.071	0.63	43.123000000000005	0.494	35.323	0.423	0.193	3.9560000000000004
18.67454	0.8140000000000001	35.974000000000004	0.72	42.508	0.6859999999999999	36.704	0.511	0.18100000000000002	4.419
18.84126	0.807	36.716	0.711	43.482	0.542	35.734	0.304	0.243	4.806
19.00795	0.746	37.486	0.586	44.121	0.619	37.04	0.511	0.281	5.09
19.17467	0.862	37.626	0.7340000000000001	44.144	0.867	36.644	0.527	0.264	5.773
19.34141	0.725	37.782	0.7979999999999999	45.169	0.696	37.537	0.523	0.495	6.07
19.50806	0.8370000000000001	38.546	0.7070000000000001	44.673	0.638	37.196	0.602	0.34	6.209
19.67467	1.038	38.579	0.774	44.707	0.5379999999999999	37.966	0.46799999999999997	0.273	7.147
19.84147	1.008	38.391	0.778	44.788999999999994	0.542	37.51	0.47200000000000003	0.276	7.989
20.00799	1.109	38.86	0.9790000000000001	45.391999999999996	0.743	38.079	0.505	0.276	8.324
20.17471	1.239	38.914	0.774	46.04600000000001	0.638	38.167	0.602	0.34	8.721
20.34152	1.042	39.597	0.9790000000000001	46.833	0.575	38.681999999999995	0.706	0.34299999999999997	10.502
20.50816	1.12	39.889	0.889	45.9	0.518	38.908	0.6509999999999999	0.35600000000000004	10.534
20.67478	1.3319999999999999	40.496	0.8	46.115	0.664	39.415	0.495	0.366	10.686
20.84148	1.205	40.556	0.9079999999999999	46.75	0.672	39.809	0.502	0.373	11.902999999999999
21.00826	1.298	40.63	1.001	46.718	0.664	39.582	0.595	0.266	12.828
21.1749	1.399	40.095	1.101	46.818000000000005	0.63	39.147	0.662	0.366	13.331
21.34163	1.306	41.092	0.875	47.486999999999995	0.8390000000000001	40.211	0.669	0.474	14.047
21.50829	1.406	41.293	0.975	47.586999999999996	0.638	40.11	0.569	0.474	14.884
21.67494	1.645	41.373000000000005	1.113	47.603	0.743	40.224000000000004	0.6729999999999999	0.47700000000000004	15.225999999999999
21.84178	1.633	41.434	1.168	47.22	0.63	40.788000000000004	0.696	0.433	15.842
22.00842	1.629	41.888999999999996	1.1640000000000001	48.242	0.66	41.31	0.759	0.46299999999999997	15.800999999999998
22.17501	1.588	41.629	1.156	48.476000000000006	0.853	40.849000000000004	0.752	0.423	16.289
22.34174	1.83	41.888999999999996	1.365	48.108000000000004	0.66	41.21	0.759	0.53	16.738
22.50848	1.8219999999999998	42.365	1.29	48.577	0.853	41.451	0.685	0.523	16.623
22.67512	2.023	42.532	1.357	48.677	0.752	41.751999999999995	0.752	0.456	16.121
22.84193	1.867	42.673	1.6030000000000002	48.994	0.764	42.126999999999995	0.763	0.5670000000000001	16.812
23.00857	2.031	42.559	1.5659999999999998	48.71	0.727	42.013000000000005	0.792	0.53	16.705
23.17516	2.244	42.699	1.6119999999999999	49.195	0.94	42.68899999999999	0.8029999999999999	0.541	17.028
23.34194	2.133	43.02	1.567	49.313	0.929	42.408	0.83	0.535	16.88
23.5087	2.22	43.589	1.788	49.096000000000004	0.748	42.809	0.848	0.62	18.355
23.67534	2.336	43.843999999999994	1.771	49.56399999999999	0.831	42.729	0.9640000000000001	0.768	17.114
23.842	2.334	43.755	1.767	49.113	1.196	42.842	0.9309999999999999	0.736	17.749000000000002
24.00871	2.533	43.965	1.867	50.25	0.9279999999999999	42.549	0.96	0.765	17.91
24.17545	2.5789999999999997	43.771	1.913	50.2	0.873	43.861999999999995	1.004	0.8420000000000001	18.134
24.34209	2.583	44.422	2.0180000000000002	50.317	0.977	43.675	1.008	0.846	17.471
24.50884	2.591	44.349	2.093	50.251000000000005	0.985	43.501000000000005	1.1159999999999999	0.853	18.055999999999997
24.67541	2.674	44.706	2.244	50.251000000000005	1.002	43.891000000000005	1.131	1.002	17.785
24.84217	2.716	44.733999999999995	2.186	50.52	1.077	43.718	1.34	1.0090000000000001	18.908
25.00896	2.531	45.093	2.3040000000000003	50.588	0.925	43.437	1.321	1.192	18.939
