	MG1655-1	IBUA8-3_1	ilvH-1	ilvN-1	pykF_ilvH-1	pykF_ilvN-1	pykF-1	MG1655-2	IBUA8-3_2	ilvH-2	ilvN-2	pykF_ilvH-2	pykF_ilvN-2	pykF-2	MG1655-3	IBUA8-3_3	ilvH-3	ilvN-3	pykF_ilvH-3	pykF_ilvN-3	pykF-3
18.006	1.272	27.136999999999997	0.8490000000000001	0.9159999999999999	8.231	13.447000000000001	17.753	0.847	29.96	0.87	0.889	10.755	13.565	18.519000000000002	0.948	27.631	0.907	1.473	10.051	15.761	17.402
18.1727	1.262	27.873	0.941	1.1079999999999999	8.717	13.435	18.267	0.804	29.274	0.961	0.9490000000000001	10.842	14.445	18.174	0.97	28.101999999999997	0.9990000000000001	1.234	9.907	16.374000000000002	17.452
18.33945	1.248	27.671	0.998	0.9670000000000001	9.165	14.11	17.718	0.889	30.061999999999998	0.851	0.873	11.220999999999998	14.657	19.539	1.1520000000000001	27.636	1.087	1.255	10.417	16.452	17.759
18.50604	1.188	27.537	1.024	1.124	9.469	14.556	19.394000000000002	0.828	28.939	1.079	0.899	12.095	15.203	19.730999999999998	1.064	28.56	1.215	1.484	10.862	17.601	18.682000000000002
18.67269	1.3419999999999999	27.625999999999998	1.0270000000000001	0.996	9.82	15.49	19.624000000000002	0.885	29.29	0.946	1.034	11.908	15.839	19.828	1.113	28.416	0.9840000000000001	1.416	11.434000000000001	17.929000000000002	19.269000000000002
18.83946	1.2570000000000001	27.695999999999998	1.037	1.006	10.495	16.038	20.737	0.998	29.228	1.023	0.978	12.455	16.519000000000002	21.171999999999997	1.229	28.684	1.094	1.3619999999999999	11.882	18.48	20.119
19.00612	1.287	27.67	1.123	1.091	10.857999999999999	16.176	21.213	1.092	30.163	1.145	0.899	12.988	16.855999999999998	21.319000000000003	1.097	29.221999999999998	1.1159999999999999	1.3519999999999999	11.985999999999999	18.957	20.732
19.17278	1.327	27.965999999999998	1.084	0.917	11.165999999999999	17.422	21.441999999999997	1.031	29.768	1.01	0.9259999999999999	13.436	17.639	22.375999999999998	1.141	28.627	1.2109999999999999	1.383	12.866	19.119	21.131999999999998
19.33944	1.396	27.396	1.064	0.998	11.629000000000001	17.546	22.288	0.937	28.566999999999997	1.054	0.972	14.290999999999999	17.961	22.228	1.0090000000000001	29.809	1.2890000000000001	1.36	13.222999999999999	20.627	21.245
19.50616	1.386	27.835	1.222	0.991	12.114	18.524	22.635	1.126	30.295	1.245	0.899	14.344000000000001	18.774	22.807	1.262	28.131	1.1159999999999999	1.253	13.64	20.445	22.351999999999997
19.67282	1.443	27.447	1.315	1.018	12.433	18.939	23.180999999999997	1.182	29.873	1.237	0.992	14.859000000000002	19.123	24.013	1.383	28.04	1.274	1.3769999999999998	14.122	21.354	22.599
19.83948	1.396	27.496	1.262	1.031	13.085	19.3	22.85	1.102	29.691999999999997	1.087	0.972	15.184000000000001	19.549	23.948	1.406	28.288	1.189	1.36	14.58	21.916999999999998	22.601999999999997
20.00624	1.5119999999999998	27.968000000000004	1.229	1.0659999999999998	13.29	19.391	24.219	1.153	29.236	1.214	0.972	15.677	20.465999999999998	23.862	1.317	27.273000000000003	1.285	1.354	15.203	22.029	22.809
20.17287	1.482	27.994	1.209	0.882	13.880999999999998	20.335	24.497	1.224	29.03	1.092	0.919	16.525	21.409000000000002	24.503	1.382	27.991999999999997	1.23	1.331	15.259	22.835	22.655
20.33948	1.679	27.796	1.3730000000000002	0.948	14.573	20.566	24.168000000000003	1.158	29.788	1.224	0.919	16.327	21.343000000000004	25.162	1.4809999999999999	28.552	1.329	1.331	16.412	23.725	23.38
20.5063	1.575	27.85	1.304	0.879	14.863	21.052	24.357	1.219	28.919	1.319	1.047	17.473	21.5	25.845	1.5090000000000001	28.573	1.226	1.393	16.569000000000003	23.945999999999998	24.36
20.67301	1.5930000000000002	28.208000000000002	1.459	1.034	15.437000000000001	21.293000000000003	25.747	1.3030000000000002	28.980999999999998	1.308	0.9059999999999999	17.55	22.794	26.345	1.294	28.634	1.215	1.315	16.284000000000002	23.788	25.023000000000003
20.83959	1.514	27.203000000000003	1.3730000000000002	0.981	15.924000000000001	22.28	25.783	1.2570000000000001	30.019000000000002	1.3230000000000002	1.15	18.074	22.925	26.480999999999998	1.4809999999999999	28.156999999999996	1.494	1.298	17.203	23.625999999999998	24.666
21.00623	1.59	29.469	1.413	0.9540000000000001	16.3	22.593000000000004	25.504	1.365	30.539	1.331	0.925	18.583	23.403000000000002	28.246	1.3940000000000001	28.412	1.501	1.4369999999999998	17.482	23.875	26.3
21.17294	1.788	26.996	1.479	1.053	16.992	23.351	26.988000000000003	1.3319999999999999	29.714000000000002	1.232	1.024	18.781	23.436	27.355999999999998	1.7890000000000001	28.379	1.369	1.4369999999999998	17.878	24.303	25.377
21.33961	1.7730000000000001	27.784000000000002	1.5019999999999998	1.044	17.729	23.226999999999997	26.695999999999998	1.318	29.906999999999996	1.286	0.9159999999999999	19.483	24.301	27.756	1.673	28.54	1.358	1.294	19.107	25.1	25.941
21.50626	1.788	28.711	1.5119999999999998	1.053	18.08	24.505	25.998	1.464	28.197	1.495	0.958	19.77	23.601	27.785	1.69	28.214000000000002	1.501	1.305	19.329	25.325	25.938000000000002
21.673	1.7069999999999999	28.641	1.7	0.945	18.355	24.94	24.39	1.516	29.38	1.517	1.014	20.669	25.586	28.745	1.575	28.375	1.589	1.393	19.634	25.396	26.271
21.83969	1.8419999999999999	27.968000000000004	1.6909999999999998	0.9009999999999999	18.703	25.794	24.748	1.55	30.986	1.445	0.873	20.528000000000002	24.656999999999996	27.493000000000002	1.515	27.669	1.516	1.42	20.285	25.956999999999997	26.01
22.0063	1.7730000000000001	27.91	1.811	1.018	19.209	25.846999999999998	25.924	1.579	28.781999999999996	1.534	0.992	20.741999999999997	25.105999999999998	27.153000000000002	1.5819999999999999	28.04	1.571	1.3769999999999998	19.84	26.576	26.531999999999996
22.17291	1.867	27.534000000000002	1.906	1.015	19.83	27.061	25.023000000000003	1.574	28.901999999999997	1.53	0.988	21.461	23.709	26.45	1.642	27.829	1.6340000000000001	1.34	20.227999999999998	25.575	26.291
22.33965	2.089	28.033	1.8459999999999999	1.016	20.642	26.566999999999997	25.915	1.7269999999999999	29.403000000000002	1.5730000000000002	1.025	21.818	23.404	27.048000000000002	1.5390000000000001	28.064	1.51	1.383	20.685	24.52	26.93
22.50634	2.002	28.154	1.885	0.996	20.971999999999998	26.709	25.168000000000003	1.578	28.498	1.507	1.034	21.971999999999998	23.23	25.999000000000002	1.8719999999999999	28.614	1.611	1.317	21.795	23.803	26.759
22.67292	2.0580000000000003	27.198	1.9569999999999999	0.998	21.355999999999998	27.206999999999997	25.728	1.631	29.526999999999997	1.7819999999999998	1.104	22.660999999999998	24.214000000000002	26.496	1.869	29.809	1.5859999999999999	1.393	22.916999999999998	23.803	27.035
22.83972	2.0709999999999997	28.736	2.042	1.018	21.523000000000003	26.541	27.345	1.777	29.84	1.8319999999999999	1.058	22.659000000000002	24.676	26.756	1.8130000000000002	28.8	1.869	1.4769999999999999	23.079	24.99	27.028000000000002
23.00639	2.157	28.29	2.122	1.097	22.051	25.916	26.953000000000003	1.929	29.593000000000004	1.848	1.104	23.090999999999998	25.305999999999997	26.991999999999997	1.8359999999999999	28.354	1.851	1.492	22.784000000000002	24.266	27.432
23.17308	2.102	27.818	2.1630000000000003	1.103	22.464000000000002	24.61	26.773000000000003	1.84	30.611	1.889	1.111	23.804000000000002	25.621	27.64	2.344	28.114	1.7590000000000001	1.401	23.596999999999998	24.945999999999998	26.89
23.33963	2.222	28.43	2.177	1.016	22.994	26.136	26.511	1.86	29.601999999999997	1.7719999999999998	1.1909999999999998	24.005	25.855999999999998	27.379	2.201	27.666	1.808	1.4169999999999998	24.23	24.818	26.499000000000002
23.50636	2.3	28.513	2.1630000000000003	1.037	23.391	26.1	26.971	2.0380000000000003	29.386	1.955	1.111	24.002	26.052	27.838	2.344	28.809	1.892	1.401	23.133000000000003	26.734	27.055
23.67305	2.356	28.058000000000003	2.3209999999999997	1.031	23.176	27.438000000000002	26.622	2.128	30.883000000000003	1.9469999999999998	1.17	24.15	26.430999999999997	28.084	2.332	29.247	1.8840000000000001	1.459	24.339000000000002	26.151999999999997	26.837
23.83975	2.405	27.83	2.332	1.1059999999999999	23.531999999999996	26.142	27.146	2.1430000000000002	29.465	2.158	1.114	24.475	26.259	27.119	2.283	28.886999999999997	1.962	1.3719999999999999	23.805	26.445	27.959
24.00651	2.4619999999999997	29.186	2.435	1.081	23.96	27.028000000000002	28.195	2.202	28.473000000000003	2.125	1.253	24.204	26.386	27.639	2.501	27.73	2.03	1.44	24.92	26.765	26.785999999999998
24.17308	2.403	28.364	2.516	1.099	25.205	27.51	27.750999999999998	2.177	30.359	2.303	1.236	24.357	26.901999999999997	27.823	2.406	28.526999999999997	2.11	1.453	25.038	26.353	26.274
24.33978	2.434	28.439	2.637	1.1840000000000002	24.266	28.061999999999998	28.039	2.174	29.642	2.129	1.19	24.709	26.296	28.375999999999998	2.408	28.337	2.133	1.5759999999999998	24.996	26.774	27.721999999999998
24.50649	2.7119999999999997	28.875999999999998	2.501	1.185	24.642	27.967	27.449	2.42	29.186999999999998	2.485	1.321	25.145	26.666999999999998	29.070999999999998	2.778	28.016	2.095	1.5030000000000001	25.0	26.281999999999996	27.619
24.67325	2.58	28.414	2.798	1.251	23.784000000000002	27.868000000000002	28.241	2.42	29.615	2.32	1.222	25.145	26.7	28.675	2.548	29.038	2.292	1.536	25.296999999999997	26.611	27.487
24.83989	2.717	28.326999999999998	2.9010000000000002	1.287	23.694000000000003	28.206999999999997	27.656999999999996	2.326	29.826	2.687	1.325	25.351999999999997	26.511999999999997	29.246	2.85	28.424	2.296	1.672	25.636	27.741999999999997	27.63
25.00649	2.714	28.529	2.951	1.3119999999999998	22.072	28.741999999999997	27.238000000000003	2.3930000000000002	28.906	2.468	1.3130000000000002	25.593000000000004	26.986	29.644000000000002	2.872	29.284000000000002	2.18	1.489	25.576999999999998	26.66	27.103
25.17319	3.032	28.34	3.042	1.305	23.863000000000003	28.328000000000003	28.304000000000002	2.481	30.623	2.46	1.307	25.476	26.771	29.624000000000002	2.762	28.24	2.369	1.7109999999999999	25.36	27.396	26.754
25.33986	2.9810000000000003	28.55	3.142	1.334	24.631	28.414	29.28	2.593	29.684	2.76	1.403	25.165	27.939	29.779	2.7489999999999997	29.272	2.569	1.681	25.348000000000003	26.53	27.535
25.50653	3.075	27.945	3.3360000000000003	1.331	24.326	28.141	27.986	2.785	30.363000000000003	2.658	1.334	24.497	28.226	30.592	2.8089999999999997	29.49	2.6639999999999997	1.743	25.733	27.607	26.274
25.6733	3.207	27.936999999999998	3.313	1.345	24.768	28.741999999999997	28.488000000000003	2.853	30.748	2.7310000000000003	1.412	25.921999999999997	28.236	30.038	2.905	29.218000000000004	2.476	1.719	25.313000000000002	27.909000000000002	26.511
25.83989	3.306	27.74	3.641	1.41	25.13	28.873	28.816	2.787	30.287	2.764	1.412	25.296999999999997	27.874000000000002	29.808000000000003	3.168	28.526999999999997	2.772	1.6540000000000001	26.103	27.054000000000002	27.3
26.00657	3.306	28.266	3.641	1.41	25.13	29.629	28.980999999999998	3.05	29.366999999999997	3.0269999999999997	1.412	25.232	29.255	29.71	3.267	29.119	2.574	1.818	26.726999999999997	27.515	27.004
26.17322	3.41	29.092	3.622	1.3940000000000001	25.217	28.891	29.261	3.057	30.388	3.105	1.494	25.678	27.926	30.381999999999998	3.237	28.86	2.719	1.798	26.381999999999998	27.761	27.511999999999997
26.33995	3.602	28.069000000000003	3.839	1.345	26.149	29.038	28.29	3.28	29.794	3.159	1.609	25.921999999999997	27.677	29.215999999999998	3.431	28.264	2.9360000000000004	1.9169999999999998	25.905	27.646	28.155
26.50659	3.6069999999999998	29.035	3.9410000000000003	1.446	26.059	28.061	28.726999999999997	3.253	28.524	3.2289999999999996	1.6130000000000002	26.49	27.291	30.607	3.569	29.23	3.0389999999999997	1.756	26.014	27.82	27.901999999999997
26.67319	3.733	28.956999999999997	4.2	1.5090000000000001	26.247	28.775	28.389	3.247	30.583000000000002	3.52	1.7080000000000002	25.593000000000004	28.070999999999998	29.414	3.727	28.889	3.1660000000000004	1.9169999999999998	26.924	29.191	27.07
26.83997	3.815	29.018	4.221	1.499	25.596	29.534000000000002	29.28	3.33	30.348000000000003	3.54	1.7630000000000001	25.006999999999998	28.535999999999998	30.468000000000004	3.708	28.885	3.1210000000000004	2.003	26.435	28.701	28.124000000000002
27.00654	3.9360000000000004	28.377	4.402	1.446	26.388	28.554000000000002	29.319000000000003	3.713	30.07	3.755	1.7109999999999999	25.405	28.179000000000002	29.358	3.865	29.099	3.236	2.1180000000000003	26.54	28.116	28.362
27.17341	4.071000000000001	28.504	4.553	1.51	27.371	28.875	29.441	3.654	29.964000000000002	3.7060000000000004	1.7719999999999998	25.336	29.125999999999998	29.709	3.863	29.487	3.1910000000000003	2.008	26.268	29.416999999999998	28.445
27.34	4.137	29.095	4.75	1.575	26.649	28.449	28.621	3.752	29.636	3.7060000000000004	1.837	26.090999999999998	28.863000000000003	29.938000000000002	3.7969999999999997	28.896	3.387	2.1719999999999997	26.858	28.925	27.002
27.50667	4.357	28.455	4.8	1.719	26.883000000000003	29.406	29.743000000000002	4.069	30.113000000000003	4.118	1.8840000000000001	25.964000000000002	28.081	29.65	4.084	30.193	3.6010000000000004	2.221	26.601999999999997	28.572	28.224
27.67333	4.406000000000001	29.708000000000002	5.042	1.795	27.14	28.943	29.083000000000002	3.987	30.545	4.197	1.96	25.598000000000003	27.748	29.516	4.333	28.392	3.614	2.135	27.19	27.912	28.945
27.83997	4.569	28.648000000000003	5.181	1.6769999999999998	27.643	29.377	29.189	4.25	31.814	4.4	1.939	25.706	28.053	30.605	4.262	28.776999999999997	3.753	2.373	26.54	29.099	27.111
28.00668	4.808	29.5	5.434	1.9169999999999998	27.37	29.669	29.316	4.256	30.634	4.426	2.0180000000000002	26.025	28.57	31.131999999999998	4.442	29.663	3.7089999999999996	2.426	26.601999999999997	28.772	27.9
28.17328	4.901	28.895	5.528	1.848	27.295	30.679000000000002	29.569000000000003	4.546	31.674	4.652	2.113	25.555	28.691999999999997	30.035999999999998	4.468999999999999	29.42	3.9019999999999997	2.455	26.691	27.775	29.929000000000002
28.34008	4.901	28.5	5.857	1.815	26.998	29.889	29.142	4.448	31.279	4.817	2.113	25.654	29.185	30.331999999999997	4.699	28.959	4.034	2.62	26.889	28.531	28.218000000000004
28.5068	5.202999999999999	28.71	5.961	1.851	27.796999999999997	29.57	29.941	4.651	30.897	5.052	2.215	26.256	28.305999999999997	30.177	4.936	28.576999999999998	3.9389999999999996	2.6239999999999997	26.569000000000003	28.673000000000002	29.215999999999998
28.67337	5.317	28.838	5.947	2.005	27.473000000000003	29.146	30.206999999999997	4.831	29.971	5.399	2.1719999999999997	25.635	28.87	30.838	5.081	30.118000000000002	4.19	2.545	27.329	29.004	27.474
28.84015	5.296	29.750999999999998	6.121	1.946	28.051	28.605999999999998	28.944000000000003	5.106	30.49	5.211	2.4090000000000003	26.246	28.855999999999998	29.081	5.127000000000001	29.65	4.231	2.8169999999999997	27.381999999999998	28.663	28.811
29.00673	5.631	28.809	6.224	2.048	28.982	29.504	29.053	5.013	31.523000000000003	5.348	2.38	25.334	28.964000000000002	30.934	5.101	30.584	4.4	2.8539999999999996	27.787	28.443	28.92
29.17341	5.9270000000000005	29.105	6.553	2.147	27.008000000000003	29.076	29.48	5.242999999999999	30.634	5.611000000000001	2.512	25.927	28.57	30.671	5.397	30.123	4.499	2.9530000000000003	26.964000000000002	29.265	27.538
29.34015	5.822	29.218000000000004	6.662000000000001	2.3040000000000003	27.651999999999997	28.763	29.363000000000003	5.337999999999999	31.138	5.848	2.533	27.028000000000002	28.554000000000002	29.663	5.319	29.774	4.577	2.9019999999999997	26.386	28.158	27.678
29.50674	5.957999999999999	29.464000000000002	6.872999999999999	2.263	28.405	29.224	28.706	5.535	31.489	6.13	2.728	26.6	29.506999999999998	30.392	5.528	29.000999999999998	4.8180000000000005	2.9739999999999998	27.607	28.79	28.248
29.67347	6.265	29.22	7.291	2.331	28.615	28.873	29.112	5.614	30.748	6.249	2.793	26.119	29.221999999999998	31.288	5.699	30.763	5.106	3.1	26.859	29.389	28.878
29.84011	6.48	29.093000000000004	7.239	2.44	28.051	29.889	28.714000000000002	6.093	31.311999999999998	6.56	2.903	27.101999999999997	28.79	30.924	6.377000000000001	30.011999999999997	5.021	3.2119999999999997	27.744	29.058000000000003	28.975
30.00675	6.612	29.586	7.502000000000001	2.6039999999999996	28.281999999999996	28.869	29.734	5.994	30.621	6.593	2.969	26.904	28.461	31.811999999999998	5.785	29.453000000000003	5.087	3.4419999999999997	26.592	29.749000000000002	27.988000000000003
30.17352	6.816	29.895	7.7379999999999995	2.739	28.653000000000002	29.01	29.316	6.0	31.391	7.0920000000000005	2.972	26.124000000000002	28.601999999999997	30.473000000000003	6.154	30.320999999999998	5.289	3.512	26.767	30.022	29.874000000000002
30.34013	7.093	29.758000000000003	8.019	2.795	28.92	30.264	30.305999999999997	6.278	30.859	7.175	3.1910000000000003	26.622	28.837	30.114	6.726	30.283	5.472	3.532	27.329	30.583000000000002	29.349
30.50682	7.132999999999999	29.182	8.262	3.076	28.125999999999998	29.764	29.97	6.4510000000000005	32.418	7.055	3.34	26.255	28.635	31.585	6.337000000000001	31.086	5.454	3.843	27.913	29.949	30.193
30.67352	7.52	30.315	8.34	2.911	28.475	30.643	30.29	6.604	33.294000000000004	7.794	3.4739999999999998	26.471999999999998	30.004	30.988000000000003	6.76	30.149	5.956	3.8169999999999997	26.885	29.976999999999997	29.006999999999998
30.84024	7.704	30.092	8.495	3.1010000000000004	28.39	29.767	29.645	6.954	31.523000000000003	7.849	3.4989999999999997	27.605	28.964000000000002	31.428	7.273	30.913	5.684	3.9730000000000003	28.05	29.825	29.511999999999997
31.00694	7.683	31.104	8.886000000000001	3.145	29.396	30.414	30.456999999999997	7.061	30.953000000000003	8.343	3.612	26.766	30.004	31.684	7.257999999999999	31.729	6.202999999999999	4.06	27.711	29.455	29.046
31.17369	7.941	30.63	8.855	3.255	29.403000000000002	29.86	29.54	7.024	32.293	8.277000000000001	3.786	27.366999999999997	29.549	31.325	7.282	30.398000000000003	6.107	4.396	27.848000000000003	31.041	28.489
31.3403	8.139	31.059	9.052	3.387	28.81	29.991	30.298000000000002	7.617000000000001	31.403000000000002	8.573	3.819	26.873	30.34	31.82	7.577999999999999	31.683000000000003	6.47	4.494	28.046	30.448	28.884
31.50689	8.58	29.636999999999997	9.3	3.475	29.901	30.06	30.564	7.5	33.175	8.886000000000001	4.071000000000001	26.449	29.388	30.866	8.051	30.557	6.686	4.579	26.994	30.745	28.721
31.67351	8.856	30.092	9.777999999999999	3.661	29.64	29.076	30.139	7.843	32.641999999999996	8.935	4.058	26.914	29.787	31.724	8.03	30.715999999999998	6.77	4.894	28.05	29.364	29.019000000000002
31.84039	9.088	31.804000000000002	10.134	3.844	29.723000000000003	31.035999999999998	31.408	8.072000000000001	31.653000000000002	9.49	4.375	27.061	30.396	31.018	8.23	31.67	6.86	4.819	27.344	30.833000000000002	30.026999999999997
32.00705	8.847999999999999	30.969	9.844	4.0	29.416999999999998	30.628	30.112	8.002	33.745	9.591000000000001	4.461	27.381999999999998	29.596999999999998	31.399	8.578	32.15	7.0360000000000005	5.03	28.482	30.221999999999998	29.021
32.17377	9.026	30.699	10.151	4.008	29.108	31.175	30.395	8.047	30.978	9.8	4.5680000000000005	27.763	30.899	31.781	8.395	30.171	7.276	5.138999999999999	27.944000000000003	30.276	29.272
32.34024	9.232000000000001	30.414	10.283	4.228	28.87	30.643	29.895	8.349	33.59	10.033	4.955	27.328000000000003	30.465	31.58	8.9	31.136999999999997	7.438	5.167000000000001	29.058000000000003	29.581999999999997	29.83
32.50693	9.825	30.793000000000003	10.304	4.272	29.129	30.962	30.019000000000002	8.39	32.713	9.786	4.994	26.897	29.44	31.631999999999998	8.994	30.956	7.3660000000000005	5.297000000000001	27.534000000000002	30.291	30.336
32.6737	9.506	31.002	10.534	4.427	29.844	31.121	30.21	8.593	33.580999999999996	10.511	5.119	27.053	29.991	31.563000000000002	9.301	32.38	7.66	5.917999999999999	27.825	29.991999999999997	28.725
32.84041	10.008	30.8	10.785	4.593	29.601	31.237	30.589000000000002	8.869	32.457	10.758	5.347	27.665	30.634	30.824	8.881	31.389	8.142999999999999	5.78	28.104	30.465999999999998	29.134
33.00701	10.167	32.198	11.005	4.707	31.643	30.226999999999997	30.433000000000003	9.06	32.083	11.144	5.297999999999999	27.146	30.476999999999997	31.029	9.304	31.704	7.836	6.062	27.489	30.607	29.767
33.17378	10.604000000000001	30.929000000000002	11.269	4.895	29.502	31.47	30.197	9.297	32.983000000000004	11.575	5.785	28.289	30.833000000000002	31.912	9.711	32.407	8.262	6.585	28.601	30.671	29.666999999999998
33.3404	10.645999999999999	30.925	11.453	5.06	28.964000000000002	30.273000000000003	30.019000000000002	9.145	33.205	11.394	5.683	27.783	30.523000000000003	32.288000000000004	9.552	31.250999999999998	8.318	6.347	27.534000000000002	31.767	30.008000000000003
33.50706	10.758	30.458000000000002	11.431	5.101	29.87	31.179000000000002	30.334	9.519	32.28	11.341	6.086	27.54	29.886	32.605	9.698	30.784000000000002	8.46	6.553999999999999	28.276999999999997	30.41	28.717
33.6737	10.81	31.121	11.453	5.29	29.226999999999997	31.06	31.2	9.703	31.86	11.788	6.274	28.308000000000003	30.916999999999998	31.829	9.978	32.662	8.613	6.8389999999999995	28.256	31.669	29.483
33.84037	10.792	32.111999999999995	11.575999999999999	5.457999999999999	29.683000000000003	31.284000000000002	31.063000000000002	9.655	32.391	11.743	6.406000000000001	27.320999999999998	31.338	32.705999999999996	10.253	31.421999999999997	8.969	7.131	28.643	31.659000000000002	29.868000000000002
34.0071	11.075999999999999	31.43	11.626	5.765	29.909000000000002	30.266	30.601999999999997	9.905	32.66	12.68	6.813	27.186	30.32	32.541	10.309000000000001	31.363000000000003	9.017999999999999	7.015	27.822	31.298000000000002	30.654
34.17378	11.298	31.351999999999997	11.915999999999999	5.925	30.391	30.616	30.066999999999997	9.8	33.04	12.772	6.612	27.767	29.916	31.776999999999997	10.595999999999998	32.431999999999995	9.242	7.436	28.107	32.27	29.955
34.34045	11.222000000000001	31.26	12.294	5.937	30.125999999999998	31.138	31.671999999999997	9.984	33.375	13.152000000000001	7.151	27.895	30.535999999999998	31.677	10.290999999999999	32.57	9.258	7.6160000000000005	27.94	31.614	29.659000000000002
34.50709	11.523	31.451	12.345	6.231	29.785	31.483	30.705	10.06	35.953	13.034	7.08	27.39	30.719	31.627	10.557	31.678	9.541	7.704	28.906999999999996	32.052	29.737
34.67379	11.45	31.83	12.175	6.586	29.349	31.636	31.644000000000002	9.628	34.597	13.387	7.271	27.904	30.938000000000002	31.976	10.517000000000001	31.96	9.503	8.452	28.798000000000002	32.041	28.778000000000002
34.84038	11.654000000000002	31.745	12.574000000000002	6.4270000000000005	29.523000000000003	31.156	31.491	10.257	33.367	12.805	7.473	27.226999999999997	31.144000000000002	32.478	10.720999999999998	31.842	10.097999999999999	8.523	27.63	31.823	30.294
35.00714	11.806	32.288000000000004	12.407	6.76	30.412	31.52	31.037	10.379000000000001	33.973	13.354000000000001	7.672000000000001	27.921	30.594	33.101	10.511	33.104	9.9	8.718	28.093000000000004	31.104	29.281
