,compound,clean_strain,pretty_name,slope,std,stderr
281,coumarate,ypjA_mprA_nadR,ΔypjA ΔmprA nadR::kan,0.5335330062284401,0.03183376790118102,0.018379234467066928
143,coumarate,nadR_mprA_yhjK,ΔnadR ΔmprA yhjK::kan,0.6049294427912987,0.039402813748792696,0.022749225124694152
141,coumarate,nadR,nadR::kan,0.41711416752817804,0.010980797977267458,0.006339766668092266
140,coumarate,mprA_yhjK,ΔmprA yhjK::kan,0.5361732174800011,0.049782999566943494,0.02874222820104185
22,coumarate,COUM2-4,COUM2-4,0.6839220709189681,0.06097736698375633,0.03520529924254632
23,coumarate,COUM4-2,COUM4-2,0.3562595145614573,0.19968971649877273,0.08152298538383744
24,coumarate,COUM7-6,COUM7-6,0.6649493540452984,0.02539518429475128,0.014661916488694809
25,coumarate,COUM8-6,COUM8-6,0.5307692344930138,0.03003812573655261,0.017342519979950476
51,coumarate,MG1655,K-12 MG1655,0.263976508560065,0.04549652905703126,0.018573880209572485
142,coumarate,nadR_mprA,ΔnadR mprA::kan,0.4912103067730825,0.020988788301532814,0.01211788257585404
283,coumarate,ypjA_mprA_yhjK,ΔypjA ΔmprA yhjK::kan,0.4688511169050975,0.01661633898365529,0.009593447785159455
139,coumarate,mprA,mprA::kan,0.4341484163241948,0.018374058281242923,0.010608267494781476
100,glutarate,kgtP_ybjL,ΔkgtP ybjL::kan,0.21286143904136753,0.007535804098379757,0.0043507985247598375
92,glutarate,kgtP,kgtP::kan,0.18138385360119444,0.004868399846600031,0.002810771961957261
26,glutarate,GLUT1-10,GLUT1-10,0.4423862739789543,0.009115189561352452,0.005262657146961305
27,glutarate,GLUT1-3,GLUT1-3,0.27779664312717695,0.01393368101223675,0.008044614483217265
28,glutarate,GLUT4-1,GLUT4-1,0.3116506404621909,0.008620595507682453,0.004977103136935343
29,glutarate,GLUT8-6,GLUT8-6,0.4018610167478441,0.0006072640381098578,0.00035060405587190554
94,glutarate,kgtP_proV,ΔkgtP proV::kan,0.24437469071838983,0.00045023245663110116,0.00025994183003387277
171,glutarate,proV,proV::kan,0.084786422077494,0.00849295141259618,0.004903407784276817
264,glutarate,ybjL,ybjL::kan,0.12617388149596223,0.006365296763069898,0.0036750057996302594
96,glutarate,kgtP_proV_ybjL,ΔkgtP ΔproV ybjL::kan,0.3004621139184149,0.012816525947698477,0.00739962470597954
98,glutarate,kgtP_sspA,ΔkgtP sspA::kan,0.25590062302341143,0.006804882774309619,0.003928800901551506
52,glutarate,MG1655,K-12 MG1655,0.10034716326298587,0.017812452041727617,0.01028402398121874
71,hexanoate,bioAB_ompR,bioA/bioB* ompR::kan,0.4393846045543836,0.007705395230648651,0.004448712010627457
109,hexanoate,mdtK_proQ,ΔmdtK proQ::kan,0.22855691078089715,0.02469110540396255,0.014255416351567202
108,hexanoate,mdtK_ompR,ΔmdtK ompR::kan,0.3194659569430974,0.026955315942462466,0.015562658915472117
74,hexanoate,bioAB_ptrA_mdtK,bioA/bioB* ΔptrA mdtK::kan,0.3034329317827864,0.011702312179822528,0.006756333087161573
72,hexanoate,bioAB_ompR_proQ,bioA/bioB* ΔompR proQ::kan,0.36193084454919094,0.17959233931574717,0.0733182655060598
73,hexanoate,bioAB_ptrA,bioA/bioB* ptrA::kan,0.25624213840304194,0.032378695355266725,0.01869384847937213
53,hexanoate,MG1655,K-12 MG1655,0.1968679629363479,0.05887619710527855,0.013877252741206082
234,hexanoate,rph,rph::kan,0.0537866673586013,0.0666444591655693,0.038477196439238456
75,hexanoate,bioAB_ptrA_ompR,bioA/bioB* ΔptrA ompR::kan,0.3146113898573886,0.010467778523630579,0.006043574748435498
43,hexanoate,IBUA8-3,IBUA8-3,0.34416291938838567,0.027467142814899963,0.01585816229805239
34,hexanoate,HEXA7-2,HEXA7-2,0.1767176289942798,0.0708205823351549,0.04088828227536774
33,hexanoate,HEXA6-9,HEXA6-9,0.15803441048685557,0.237573503964002,0.07919116798800067
32,hexanoate,HEXA4-10,HEXA4-10,0.06167186499503588,0.23885410605532612,0.06167186499503587
31,hexanoate,HEXA2-9,HEXA2-9,0.45106355368064815,0.16020530170161104,0.04624728703151518
30,hexanoate,HEXA1-1,HEXA1-1,0.4755330805396148,0.3001411417645182,0.08664328449631312
110,hexanoate,mdtK_ptrA,ΔmdtK ptrA::kan,0.26930623705300205,0.031752953334364405,0.01296308891593309
70,hexanoate,bioAB,bioA/bioB*,0.2598618286079535,0.03889186281821472,0.01296395427273824
76,hexanoate,cheR,cheR::kan,0.09971590065920437,0.024203269579046335,0.013973764206731482
213,hexanoate,ptrA,ptrA::kan,0.24304167812772973,0.02893900024000937,0.011814297375717148
160,hexanoate,ompR_proQ_ompC,ΔompR ΔproQ ompC::kan,0.23587475981971706,0.0031331361319221368,0.0018089169891729886
168,hexanoate,proQ_ompC,ΔproQ ompC::kan,0.2620217455369253,0.03763048483437532,0.02172597054886272
107,hexanoate,mdtK,mdtK::kan,0.2370887611832517,0.011179479279401152,0.006454475371362099
164,hexanoate,phoU,phoU::kan,0.05827325154990067,0.05248526059266113,0.03030237933166056
163,hexanoate,opgH,opgH::kan,0.30073680939774117,0.013191395242822748,0.007616055594430462
162,hexanoate,ompR_ptrA,ΔompR ptrA::kan,0.21482076231261274,0.021204294005895272,0.008656616778399883
161,hexanoate,ompR_proQ_ptrA,ΔompR ΔproQ ptrA::kan,0.22002862614108498,0.013072100570091845,0.0075471807830163875
166,hexanoate,proP,proP::kan,0.2846446528785586,0.03426603508332372,0.019783504579418115
159,hexanoate,ompR_proQ_mdtK,ΔompR ΔproQ mdtK::kan,0.19313769712292914,0.012616621124532044,0.007284209602512095
167,hexanoate,proQ,proQ::kan,0.18318315336012944,0.05690620996990811,0.014693120233949105
157,hexanoate,ompR_proP,ΔompR proP::kan,0.43513832205957076,0.008403195746020366,0.004851587326017977
156,hexanoate,ompR_ompC,ΔompR ompC::kan,0.1941131370340655,0.008344482149858716,0.004817689015468957
155,hexanoate,ompR,ompR::kan,0.21669972536159454,0.03867328699237817,0.011164016327748594
154,hexanoate,ompC,ompC::kan,0.2232828928066776,0.01968615397282846,0.011365806295520933
158,hexanoate,ompR_proQ,ΔompR proQ::kan,0.3402453053419263,0.06374697686599641,0.01840216712680394
221,isobutyrate,pykF_ilvH_glyQ,ΔpykF ilvH* glyQ*,0.2883500929189569,0.012114117433593419,0.006994088961279899
222,isobutyrate,pykF_ilvN,ΔpykF ilvN*,0.2716008949831921,0.003829125178079283,0.002210746452324848
223,isobutyrate,pykF_rpoS,ΔpykF rpoS::kan,0.2929720565032139,0.010119471851530323,0.004131257083784438
220,isobutyrate,pykF_ilvH,ΔpykF ilvH*,0.23379845665464116,0.03057145885331199,0.012480745813850952
219,isobutyrate,pykF_glyQ,ΔpykF glyQ*,0.2723127032465417,0.012517411406922684,0.007226930845344104
218,isobutyrate,pykF,pykF::kan,0.2533702831974593,0.028069443163086006,0.007247499060529849
224,isobutyrate,pykF_rpoS_yobF,ΔpykF ΔrpoS yobF::kan,0.22502355649362263,0.022135890603849517,0.012780162398884628
225,isobutyrate,pykF_yobF,ΔpykF yobF::kan,0.27767807977720366,0.01760800525397002,0.005869335084656674
235,isobutyrate,rph,rph::kan,0.0537866673586013,0.0666444591655693,0.038477196439238456
236,isobutyrate,rpoS,rpoS::kan,0.09577851462985454,0.1076918168955236,0.04396500014454487
90,isobutyrate,ilvN,ilvN*,0.23392461345600749,0.009510621397746187,0.0054909598241493765
165,isobutyrate,phoU,phoU::kan,0.05827325154990067,0.05248526059266113,0.03030237933166056
41,isobutyrate,IBUA5-6,IBUA5-6,0.45937988092481924,0.034070594085621284,0.013909261790543092
278,isobutyrate,yobF,yobF::kan,0.19551204556746318,0.023434461564457453,0.007811487188152485
45,isobutyrate,IBUA8-3_ilvH-revert,IBUA8-3 ilvH-wt,0.4187026416205681,0.017994319169000243,0.010389025016106333
44,isobutyrate,IBUA8-3,IBUA8-3,0.35059205200717936,0.018621885333653637,0.004808150118148312
89,isobutyrate,ilvH_glyQ,ilvH* glyQ*,0.12907878702380693,0.03427786548706053,0.01979033486620018
42,isobutyrate,IBUA7-9,IBUA7-9,0.27562660852052495,0.15478271727271847,0.06318977971993876
88,isobutyrate,ilvH,ilvH*,0.1604579188526877,0.03920153471645026,0.016003959531550597
86,isobutyrate,glyQ,glyQ*,0.14570067349069274,0.029798101778032663,0.017203942082887023
54,isobutyrate,MG1655,K-12 MG1655,0.12572392321286882,0.06462081627237679,0.015231272464002542
40,isobutyrate,IBUA2-9,IBUA2-9,0.42310047936200984,0.05649998231377188,0.023066021190835867
77,isobutyrate,cheR,cheR::kan,0.09971590065920437,0.024203269579046335,0.013973764206731482
55,octanoate,MG1655,K-12 MG1655,0.2779631316324137,0.010882660249039266,0.00628310682428206
59,octanoate,OCTA5-4,OCTA5-4,0.4512932455318099,0.010587097375274296,0.006112463519551395
60,octanoate,OCTA7-2,OCTA7-2,0.4482401696265674,0.035128864785204494,0.020281659540063782
57,octanoate,OCTA1-9,OCTA1-9,0.06527720548939543,0.06340818206406484,0.03660873098351264
256,octanoate,stfE,stfE::kan,0.3293785208727395,0.007300553821513362,0.004214976714084091
230,octanoate,rlmH,rlmH::kan,0.27869560144455197,0.059764777831863534,0.03450521056928459
58,octanoate,OCTA2-14,OCTA2-14,0.01505669834515601,0.026078966528048447,0.015056698345156012
87,octanoate,gtrS,gtrS::kan,0.15868913360626338,0.0366193858212424,0.021142212261453065
62,putrescine,PUTR3-1,PUTR3-1,0.36125562125689314,0.02461467089107081,0.007105643432486889
201,putrescine,proV_rpsG1_argG,ΔproV rpsG1* argG*,0.2577239677078764,0.004751604160887596,0.002743339941371
39,putrescine,HMDA7-1,HMDA7-1,0.20396290798889427,0.01640711937596696,0.00947265478834085
260,putrescine,wbbK,wbbK::kan,0.1499580688319961,0.025968752371130988,0.014993066171991209
200,putrescine,proV_rpsG1,ΔproV rpsG1*,0.18235541393161522,0.02108781602034523,0.012175056255967622
262,putrescine,ybeX,ΔproV ybeX::kan,0.05761250207011398,0.017448253243098535,0.010073753706791701
181,putrescine,proV_cspC_ybeX_mpl,ΔproV ΔcspC ΔybeX mpl::kan,0.18607407612483318,0.017028253342382886,0.009831266651053905
198,putrescine,proV_ptsP_ybeX_mpl,ΔproV ΔptsP ΔybeX mpl::kan,0.24446800690892675,0.2750438148152482,0.15879662052252513
265,putrescine,yeaR,yeaR::kan,0.05056620081511062,0.04699724562823568,0.027133872414632835
182,putrescine,proV_edd/zwf,ΔproV edd/zwf*,0.09327107958016347,0.018995696486064185,0.010967170479673586
196,putrescine,proV_ptsP_ybeX,ΔproV ΔptsP ybeX::kan,0.06296157935271486,0.02538164184967613,0.014654097754385186
194,putrescine,proV_ptsP_wbbK,ΔproV ΔptsP wbbK::kan,0.13708521678846577,0.08931557099538125,0.036462929170668186
269,putrescine,ygaC,ΔproV ygaC*,0.22869673041582786,0.021090395056055002,0.012176545262928908
81,putrescine,cspC,cspC::kan,0.11407968823690241,0.014638589766971391,0.00597617924716787
271,putrescine,ygaC_mpl,ΔproV ygaC* mpl::kan,0.22381596317631183,0.010548095939742305,0.006089946030248219
192,putrescine,proV_ptsP_nagC,ΔproV ΔptsP nagC::kan,0.17353293208876375,0.029831849738361924,0.017223426476867726
273,putrescine,ygaC_ybeX,ΔproV ygaC* ybeX::kan,0.15151727856979047,0.022477399614717397,0.01297733271823988
190,putrescine,proV_ptsP_mpl,ΔproV ΔptsP mpl::kan,0.11585156625346545,0.0320025334260338,0.018476671288270612
275,putrescine,ygaC_ybeX_mpl,ΔproV ygaC* ΔybeX mpl::kan,0.12923869310389316,0.006177766654812752,0.0035667352411468366
188,putrescine,proV_ptsP,ΔproV ptsP::kan,0.10006560069516829,0.05188269320747203,0.017294231069157343
185,putrescine,proV_nagC,ΔproV nagC::kan,0.126862020774929,0.05088852227907531,0.020775152224664705
147,putrescine,nusA_sspA,ΔproV nusA* sspA*,0.0,0.0,0.0
138,putrescine,mpl,ΔproV mpl::kan,0.1157541427285405,0.0038384009383607954,0.0022161018150203176
153,putrescine,nusA_sspA_ybeX_mpl,ΔproV sspA* nusA* ΔybeX mpl::kan,0.12065729525677082,0.0443820366830411,0.025623980826137628
202,putrescine,proV_rpsG1_mreB,,0.26680477786585266,0.0035679449092540713,0.002059953953811593
63,putrescine,PUTR4-3,PUTR4-3,0.26391623873451214,0.004670633163028107,0.00190677800419005
203,putrescine,proV_rpsG1_spoT,ΔproV rpsG1* spoT*,0.09381860609557552,0.02156882101664571,0.01245276462006326
179,putrescine,proV_cspC_ybeX,ΔproV ΔcspC ybeX::kan,0.13375028341382575,0.049995305909574704,0.028864803325110645
64,putrescine,PUTR5-6,PUTR5-6,0.22745506056917472,0.013697862236188293,0.0055921288409333785
65,putrescine,PUTR7-7,PUTR7-7,0.31488107755246114,0.024133967908684644,0.009852651140830239
151,putrescine,nusA_sspA_ybeX,ΔproV sspA* nusA* ybeX::kan,0.0,0.0,0.0
183,putrescine,proV_mreB,ΔproV mreB*,0.2704014250033527,0.008859440538318053,0.005115000379667411
215,putrescine,ptsP,ptsP::kan,0.20792475070126645,0.08233095570908729,0.0475337994412807
172,putrescine,proV,proV::kan,0.11092945297100933,0.04785940516382271,0.015953135054607572
173,putrescine,proV_argG,ΔproV argG*,0.12356309650688428,0.03318160947862466,0.019157411164628987
212,putrescine,pstS,pstS::kan,0.06808611633014709,0.009037163272967613,0.0052176086483584514
238,putrescine,rpsG1,rpsG1*,0.23205586498014505,0.010454726242678935,0.0042681241158413616
56,putrescine,MG1655,K-12 MG1655,0.10336684288596171,0.07544230691471795,0.019479119885344752
240,putrescine,rpsG1_mpl,ΔproV rpsG1* mpl::kan,0.19635888645408053,0.009427938997191054,0.005443223117931626
204,putrescine,proV_spoT,ΔproV spoT*,0.0,0.0,0.0
211,putrescine,proV_yobF,ΔproV yobF::kan,0.1051482271659051,0.054039673510912635,0.0311998200484449
210,putrescine,proV_ygaC_edd/zwf,ΔproV ygaC* edd/zwf*,0.25566306053094084,0.03362685982216334,0.019414476570327816
244,putrescine,rpsG1_mreB_mpl,ΔproV rpsG1* mreB* mpl::kan,0.27266321377561825,0.00522466720504423,0.0030164630172584963
209,putrescine,proV_ygaC,,0.24333102814648055,0.014362649671340147,0.008292279654024523
246,putrescine,rpsG1_mreB_ybeX,ΔproV rpsG1* mreB* ybeX::kan,0.2692012113395914,0.010166339438144024,0.005869538811285562
208,putrescine,proV_wbbK,ΔproV wbbK::kan,0.12349546430199813,0.03126331508259837,0.012763194936703892
248,putrescine,rpsG1_mreB_ybeX_mpl,ΔproV rpsG1* mreB* ΔybeX mpl::kan,0.24232285037393433,0.008973822135050314,0.005181038625331122
149,putrescine,nusA_sspA_mpl,ΔproV sspA* nusA* mpl::kan,0.05308772557960884,0.09195063796215644,0.05308772557960884
250,putrescine,rpsG1_ybeX,ΔproV rpsG1* ybeX::kan,0.18162502554351967,0.006488366614697762,0.003746060211596734
175,putrescine,proV_cspC,ΔproV cspC::kan,0.12317291545271448,0.06029551476184336,0.020098504920614452
252,putrescine,rpsG1_ybeX_mpl,ΔproV rpsG1* ΔybeX mpl::kan,0.1385921399954751,0.00616318812255058,0.003558318321620882
177,putrescine,proV_cspC_mpl,ΔproV ΔcspC mpl::kan,0.1918400880125386,0.016638449127213538,0.00960621308249463
242,putrescine,rpsG1_mreB,ΔproV rpsG1* mreB*,0.2800646015890584,0.003971198344201453,0.0022927724330301055
67,putrescine,PUTR8-10,PUTR8-10,0.33604868303910873,0.02425347616042821,0.007001375495003699
