compound	experiment	growth_rate	repl	strain	well
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4286666967815308	1	IBUA1-7	A02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA7-9	C02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3883480795103717	1	IBUA2-6	A05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3260231898875488	1	IBUA3-2	A07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3221116386297352	2	IBUA7-7	F01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA3-10	D08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3119207028009698	2	IBUA4-8	E02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.38708399224449475	2	IBUA8-10	F05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA5-2	E04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4156430018197453	1	IBUA5-6	B05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	3	IBUA1-9	C07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3474583803198321	2	IBUA8-4	F04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.434828851198731	2	IBUA2-6	D05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA4-1	E01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3255786913738992	1	IBUA8-4	C04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.44838667338320637	3	IBUA2-6	F06
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4221615222887577	2	IBUA1-7	D02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA5-6	E05
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA7-6	B08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.44774579792531993	3	IBUA2-1	C08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA4-1	B01
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3677345688828943	2	IBUA2-9	D06
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA1-9	D03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.46363929032996803	2	IBUA2-1	D04
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	1	IBUA8-3	C03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.5077827149194599	1	IBUA6-9	B07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.47178332704273546	2	IBUA3-2	D07
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3005151649964661	1	IBUA1-9	A03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.30108813213353286	2	IBUA4-9	E03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.0	2	IBUA7-9	F02
isobutyrate	ALE_isobutyrate_duplicates_091114	0.2989145144472939	1	IBUA4-9	B03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.4379631765440229	3	IBUA3-2	F08
isobutyrate	ALE_isobutyrate_duplicates_091114	0.3412650875117162	2	IBUA8-3	F03
isobutyrate	ALE_isobutyrate_duplicates_091114	0.32450568508992594	1	IBUA4-8	B02
coumarate	ALE_coumarate_duplicates_061914	0.8153177126396642	1	COUM3-1	A06
coumarate	ALE_coumarate_duplicates_061914	0.07116493303063874	2	MG1655	D01
coumarate	ALE_coumarate_duplicates_061914	0.7243230574270169	1	COUM6-9	C01
coumarate	ALE_coumarate_duplicates_061914	0.8437354216575735	2	COUM6-5	E08
coumarate	ALE_coumarate_duplicates_061914	0.39948458201832643	3	COUM3-1	F07
coumarate	ALE_coumarate_duplicates_061914	0.47194618127910404	3	COUM1-2	C06
coumarate	ALE_coumarate_duplicates_061914	0.06049379594836925	1	MG1655	A01
coumarate	ALE_coumarate_duplicates_061914	0.5788848346521945	2	COUM6-2	E07
coumarate	ALE_coumarate_duplicates_061914	0.8731992036936866	2	COUM5-8	E06
coumarate	ALE_coumarate_duplicates_061914	0.4493774555855138	1	COUM5-3	B04
coumarate	ALE_coumarate_duplicates_061914	0.8700814917079173	1	COUM5-8	B06
coumarate	ALE_coumarate_duplicates_061914	0.40392247347804305	1	COUM2-4	A04
coumarate	ALE_coumarate_duplicates_061914	0.9659505403506105	1	COUM8-6	C05
coumarate	ALE_coumarate_duplicates_061914	0.8745421986278923	1	COUM3-10	A08
coumarate	ALE_coumarate_duplicates_061914	0.6910162495043701	1	COUM1-2	A02
coumarate	ALE_coumarate_duplicates_061914	0.0	1	COUM7-5	C02
coumarate	ALE_coumarate_duplicates_061914	0.5215285449974971	1	COUM2-7	A05
coumarate	ALE_coumarate_duplicates_061914	0.6911771816713286	1	COUM3-9	A07
coumarate	ALE_coumarate_duplicates_061914	0.5415506732220641	2	COUM6-9	F01
coumarate	ALE_coumarate_duplicates_061914	0.0	2	COUM3-10	D08
coumarate	ALE_coumarate_duplicates_061914	0.667308065376429	2	COUM4-5	E02
coumarate	ALE_coumarate_duplicates_061914	0.9799421861653572	2	COUM8-6	F05
coumarate	ALE_coumarate_duplicates_061914	0.4822311489172075	2	COUM5-3	E04
coumarate	ALE_coumarate_duplicates_061914	0.5001133968054987	1	COUM5-5	B05
coumarate	ALE_coumarate_duplicates_061914	0.41864439112265367	3	COUM2-3	C07
coumarate	ALE_coumarate_duplicates_061914	0.4055232581023859	2	COUM8-1	F04
coumarate	ALE_coumarate_duplicates_061914	0.49924910386600785	2	COUM2-7	D05
coumarate	ALE_coumarate_duplicates_061914	0.8919096308940575	2	COUM4-2	E01
coumarate	ALE_coumarate_duplicates_061914	0.39587194652851654	1	COUM8-1	C04
coumarate	ALE_coumarate_duplicates_061914	0.6116656393115741	3	COUM2-7	F06
coumarate	ALE_coumarate_duplicates_061914	0.684513231840262	2	COUM1-2	D02
coumarate	ALE_coumarate_duplicates_061914	0.4583462696765844	2	COUM5-5	E05
coumarate	ALE_coumarate_duplicates_061914	0.4245628871185976	1	COUM6-5	B08
coumarate	ALE_coumarate_duplicates_061914	0.664568542529166	3	COUM2-4	C08
coumarate	ALE_coumarate_duplicates_061914	0.8523419876052049	1	COUM4-2	B01
coumarate	ALE_coumarate_duplicates_061914	0.8874570463125018	2	COUM3-1	D06
coumarate	ALE_coumarate_duplicates_061914	0.7602272148708619	2	COUM2-3	D03
coumarate	ALE_coumarate_duplicates_061914	0.4196049193859485	2	COUM2-4	D04
coumarate	ALE_coumarate_duplicates_061914	0.5622857032953856	1	COUM7-6	C03
coumarate	ALE_coumarate_duplicates_061914	0.6125823954075967	1	COUM6-2	B07
coumarate	ALE_coumarate_duplicates_061914	0.7678883895761704	2	COUM3-9	D07
coumarate	ALE_coumarate_duplicates_061914	0.753257401035688	1	COUM2-3	A03
coumarate	ALE_coumarate_duplicates_061914	0.7269492804779247	2	COUM4-10	E03
coumarate	ALE_coumarate_duplicates_061914	0.0	2	COUM7-5	F02
coumarate	ALE_coumarate_duplicates_061914	0.7427389877046682	1	COUM4-10	B03
coumarate	ALE_coumarate_duplicates_061914	0.7596643392955198	3	COUM3-9	F08
coumarate	ALE_coumarate_duplicates_061914	0.4444682974402328	2	COUM7-6	F03
coumarate	ALE_coumarate_duplicates_061914	0.6701175458286744	1	COUM4-5	B02
butanol	ALE_butanol_duplicates_060514	0.0	2	BUT3-6	A06
butanol	ALE_butanol_duplicates_060514	0.0	1	BUT1-5	D01
butanol	ALE_butanol_duplicates_060514	0.6849275226016888	1	BUT1-3	C01
butanol	ALE_butanol_duplicates_060514	0.9736224180601838	3	BUT3-3	E08
butanol	ALE_butanol_duplicates_060514	0.0	2	BUT7-7	F07
butanol	ALE_butanol_duplicates_060514	0.8517824280440657	2	BUT4-4	C06
butanol	ALE_butanol_duplicates_060514	0.4405351663245467	1	MG1655	A01
butanol	ALE_butanol_duplicates_060514	0.6199111669595765	2	BUT7-6	E07
butanol	ALE_butanol_duplicates_060514	0.9017580128085575	2	BUT4-9	E06
butanol	ALE_butanol_duplicates_060514	0.7509629757636954	1	BUT9-10	B04
butanol	ALE_butanol_duplicates_060514	0.0	2	BUT3-7	B06
butanol	ALE_butanol_duplicates_060514	0.7393306764402481	1	BUT7-9	A04
butanol	ALE_butanol_duplicates_060514	0.7850931515459527	2	BUT1-3	C05
butanol	ALE_butanol_duplicates_060514	0.9526911385366439	2	BUT7-9	A08
butanol	ALE_butanol_duplicates_060514	0.0	1	BUT3-6	A02
butanol	ALE_butanol_duplicates_060514	0.8518659270811414	1	BUT4-4	C02
butanol	ALE_butanol_duplicates_060514	0.4514692646648892	2	MG1655	A05
butanol	ALE_butanol_duplicates_060514	0.7247919187793816	2	BUT5-3	A07
butanol	ALE_butanol_duplicates_060514	0.998909661157195	1	BUT3-3	F01
butanol	ALE_butanol_duplicates_060514	0.7041543174536279	3	BUT2-9	D08
butanol	ALE_butanol_duplicates_060514	0.0	1	BUT4-9	E02
butanol	ALE_butanol_duplicates_060514	0.7026615553005306	2	BUT3-3	F05
butanol	ALE_butanol_duplicates_060514	0.0	3	BUT1-3	E04
butanol	ALE_butanol_duplicates_060514	0.6429094962874932	2	BUT1-2	B05
butanol	ALE_butanol_duplicates_060514	0.8164926881616319	2	BUT6-3	C07
butanol	ALE_butanol_duplicates_060514	0.687387718807238	3	BUT1-5	F04
butanol	ALE_butanol_duplicates_060514	0.5751421280844334	2	BUT1-5	D05
butanol	ALE_butanol_duplicates_060514	0.6693665019804835	1	BUT2-9	E01
butanol	ALE_butanol_duplicates_060514	0.0	1	BUT9-7	C04
butanol	ALE_butanol_duplicates_060514	0.0	2	BUT5-2	F06
butanol	ALE_butanol_duplicates_060514	0.0	1	BUT4-7	D02
butanol	ALE_butanol_duplicates_060514	0.6993996009444879	2	BUT2-9	E05
butanol	ALE_butanol_duplicates_060514	0.6403023965165177	2	BUT9-10	B08
butanol	ALE_butanol_duplicates_060514	0.7020654948151237	2	BUT9-7	C08
butanol	ALE_butanol_duplicates_060514	0.6108135929803781	1	BUT1-2	B01
butanol	ALE_butanol_duplicates_060514	0.0	2	BUT4-7	D06
butanol	ALE_butanol_duplicates_060514	0.686106426368731	1	BUT6-8	D03
butanol	ALE_butanol_duplicates_060514	0.0	3	BUT1-2	D04
butanol	ALE_butanol_duplicates_060514	0.8093318264227892	1	BUT6-3	C03
butanol	ALE_butanol_duplicates_060514	0.6986376042154638	2	BUT6-1	B07
butanol	ALE_butanol_duplicates_060514	0.8160294049675944	2	BUT6-8	D07
butanol	ALE_butanol_duplicates_060514	0.8251221555357293	1	BUT5-3	A03
butanol	ALE_butanol_duplicates_060514	0.0	1	BUT7-6	E03
butanol	ALE_butanol_duplicates_060514	0.0	1	BUT5-2	F02
butanol	ALE_butanol_duplicates_060514	0.8260306945884197	1	BUT6-1	B03
butanol	ALE_butanol_duplicates_060514	0.4800027705854508	3	BUT3-6	F08
butanol	ALE_butanol_duplicates_060514	0.0	1	BUT7-7	F03
butanol	ALE_butanol_duplicates_060514	0.44481081239900516	1	BUT3-7	B02
glutarate	ALE_glutarate_duplicates_060214	0.2793040138790053	1	GLUT6-4	A06
glutarate	ALE_glutarate_duplicates_060214	0.1251489860779523	2	MG1655	D01
glutarate	ALE_glutarate_duplicates_060214	0.3218802329865645	1	GLUT1-9	C01
glutarate	ALE_glutarate_duplicates_060214	0.34115274221544356	2	GLUT8-6	E08
glutarate	ALE_glutarate_duplicates_060214	0.2626715326030776	2	GLUT7-7	F07
glutarate	ALE_glutarate_duplicates_060214	0.4472801499157102	1	GLUT6-10	C06
glutarate	ALE_glutarate_duplicates_060214	0.08844791224742325	1	MG1655	A01
glutarate	ALE_glutarate_duplicates_060214	0.32875904856678523	2	GLUT7-6	E07
glutarate	ALE_glutarate_duplicates_060214	0.28810200055036445	2	GLUT6-5	E06
glutarate	ALE_glutarate_duplicates_060214	0.2818962508029789	1	GLUT4-1	B04
glutarate	ALE_glutarate_duplicates_060214	0.328814199172519	1	GLUT6-5	B06
glutarate	ALE_glutarate_duplicates_060214	0.33928556898306883	1	GLUT3-9	A04
glutarate	ALE_glutarate_duplicates_060214	0.3122263162859678	1	GLUT5-5	C05
glutarate	ALE_glutarate_duplicates_060214	0.30543123439725606	1	GLUT8-5	A08
glutarate	ALE_glutarate_duplicates_060214	0.4051906889443643	1	GLUT1-10	A02
glutarate	ALE_glutarate_duplicates_060214	0.29516663951095345	1	GLUT2-9	C02
glutarate	ALE_glutarate_duplicates_060214	0.29097254829987923	1	GLUT4-10	A05
glutarate	ALE_glutarate_duplicates_060214	0.3364246019376664	1	GLUT7-2	A07
glutarate	ALE_glutarate_duplicates_060214	0.3297728281591659	2	GLUT1-9	F01
glutarate	ALE_glutarate_duplicates_060214	0.34031994812513594	2	GLUT8-5	D08
glutarate	ALE_glutarate_duplicates_060214	0.20402375373682466	2	GLUT2-1	E02
glutarate	ALE_glutarate_duplicates_060214	0.4113403006931183	2	GLUT5-5	F05
glutarate	ALE_glutarate_duplicates_060214	0.2708776200643955	2	GLUT4-1	E04
glutarate	ALE_glutarate_duplicates_060214	0.48642953597244337	1	GLUT5-4	B05
glutarate	ALE_glutarate_duplicates_060214	0.30761843112017445	1	GLUT7-7	C07
glutarate	ALE_glutarate_duplicates_060214	0.2704258781701796	2	GLUT4-4	F04
glutarate	ALE_glutarate_duplicates_060214	0.28132810188448526	2	GLUT4-10	D05
glutarate	ALE_glutarate_duplicates_060214	0.2899637336761988	2	GLUT1-3	E01
glutarate	ALE_glutarate_duplicates_060214	0.30040371220397943	1	GLUT4-4	C04
glutarate	ALE_glutarate_duplicates_060214	0.2784198005458353	2	GLUT6-10	F06
glutarate	ALE_glutarate_duplicates_060214	0.5556102672578908	2	GLUT1-10	D02
glutarate	ALE_glutarate_duplicates_060214	0.5015207391848425	2	GLUT5-4	E05
glutarate	ALE_glutarate_duplicates_060214	0.3386081686416006	1	GLUT8-6	B08
glutarate	ALE_glutarate_duplicates_060214	0.3346742047150681	1	GLUT8-9	C08
glutarate	ALE_glutarate_duplicates_060214	0.307668230114862	1	GLUT1-3	B01
glutarate	ALE_glutarate_duplicates_060214	0.26279866928365253	2	GLUT6-4	D06
glutarate	ALE_glutarate_duplicates_060214	0.3992657821692866	2	GLUT2-10	D03
glutarate	ALE_glutarate_duplicates_060214	0.3207155413941642	2	GLUT3-9	D04
glutarate	ALE_glutarate_duplicates_060214	0.27870722775420026	1	GLUT3-7	C03
glutarate	ALE_glutarate_duplicates_060214	0.3118662450087869	1	GLUT7-6	B07
glutarate	ALE_glutarate_duplicates_060214	0.32931508355042843	2	GLUT7-2	D07
glutarate	ALE_glutarate_duplicates_060214	0.4143467293875649	1	GLUT2-10	A03
glutarate	ALE_glutarate_duplicates_060214	0.26476883384047795	2	GLUT3-5	E03
glutarate	ALE_glutarate_duplicates_060214	0.312967168922443	2	GLUT2-9	F02
glutarate	ALE_glutarate_duplicates_060214	0.2804781907572429	1	GLUT3-5	B03
glutarate	ALE_glutarate_duplicates_060214	0.3086001080695366	2	GLUT8-9	F08
glutarate	ALE_glutarate_duplicates_060214	0.23235968320978465	2	GLUT3-7	F03
glutarate	ALE_glutarate_duplicates_060214	0.3574859507343027	1	GLUT2-1	B02
octanoate	ALE_octanoate_duplicates_122214	0.5028631505913392	1	OCTA2-14	A06
octanoate	ALE_octanoate_duplicates_122214	0.3737894484357311	2	MG1655	D01
octanoate	ALE_octanoate_duplicates_122214	0.7164614115462631	1	OCTA7-2	C01
octanoate	ALE_octanoate_duplicates_122214	0.48309006045291353	2	OCTA6-7	E08
octanoate	ALE_octanoate_duplicates_122214	0.508305474580014	3	OCTA2-14	F07
octanoate	ALE_octanoate_duplicates_122214	0.6340297777256979	3	OCTA1-3	C06
octanoate	ALE_octanoate_duplicates_122214	0.40935201159531	1	MG1655	A01
octanoate	ALE_octanoate_duplicates_122214	0.5834360753900006	2	OCTA6-6	E07
octanoate	ALE_octanoate_duplicates_122214	0.513845475659833	2	OCTA6-5	E06
octanoate	ALE_octanoate_duplicates_122214	0.5197777958834187	1	OCTA5-8	B04
octanoate	ALE_octanoate_duplicates_122214	0.49054572403024904	1	OCTA6-5	B06
octanoate	ALE_octanoate_duplicates_122214	0.5945857424352067	1	OCTA1-9	A04
octanoate	ALE_octanoate_duplicates_122214	0.5874722134759377	1	OCTA8-7	C05
octanoate	ALE_octanoate_duplicates_122214	0.5940604682483992	1	OCTA4-9	A08
octanoate	ALE_octanoate_duplicates_122214	0.7001600696226749	1	OCTA1-3	A02
octanoate	ALE_octanoate_duplicates_122214	0.7101776503681877	1	OCTA7-9	C02
octanoate	ALE_octanoate_duplicates_122214	0.5139186982223187	1	OCTA2-10	A05
octanoate	ALE_octanoate_duplicates_122214	0.5090805987264756	1	OCTA2-16	A07
octanoate	ALE_octanoate_duplicates_122214	0.651019395122097	2	OCTA7-2	F01
octanoate	ALE_octanoate_duplicates_122214	0.6101615432948931	2	OCTA4-9	D08
octanoate	ALE_octanoate_duplicates_122214	0.7397081247490985	2	OCTA4-13	E02
octanoate	ALE_octanoate_duplicates_122214	0.502039790515958	2	OCTA8-7	F05
octanoate	ALE_octanoate_duplicates_122214	0.5341768508084794	2	OCTA5-8	E04
octanoate	ALE_octanoate_duplicates_122214	0.5519731172284555	1	OCTA5-9	B05
octanoate	ALE_octanoate_duplicates_122214	0.7312476613486926	3	OCTA1-5	C07
octanoate	ALE_octanoate_duplicates_122214	0.5370169015652992	2	OCTA8-5	F04
octanoate	ALE_octanoate_duplicates_122214	0.5394695743052462	2	OCTA2-10	D05
octanoate	ALE_octanoate_duplicates_122214	0.641098579924992	2	OCTA4-10	E01
octanoate	ALE_octanoate_duplicates_122214	0.5934896240923234	1	OCTA8-5	C04
octanoate	ALE_octanoate_duplicates_122214	0.4329458108432025	3	OCTA2-10	F06
octanoate	ALE_octanoate_duplicates_122214	0.682874445930527	2	OCTA1-3	D02
octanoate	ALE_octanoate_duplicates_122214	0.5682282979044859	2	OCTA5-9	E05
octanoate	ALE_octanoate_duplicates_122214	0.509531562955572	1	OCTA6-7	B08
octanoate	ALE_octanoate_duplicates_122214	0.670657561964911	3	OCTA1-9	C08
octanoate	ALE_octanoate_duplicates_122214	0.5862316059273978	1	OCTA4-10	B01
octanoate	ALE_octanoate_duplicates_122214	0.506177259590431	2	OCTA2-14	D06
octanoate	ALE_octanoate_duplicates_122214	0.630713460277001	2	OCTA1-5	D03
octanoate	ALE_octanoate_duplicates_122214	0.6204968041716533	2	OCTA1-9	D04
octanoate	ALE_octanoate_duplicates_122214	0.7306677588013804	1	OCTA7-10	C03
octanoate	ALE_octanoate_duplicates_122214	0.6005176035357414	1	OCTA6-6	B07
octanoate	ALE_octanoate_duplicates_122214	0.4937664714545865	2	OCTA2-16	D07
octanoate	ALE_octanoate_duplicates_122214	0.6704194392658706	1	OCTA1-5	A03
octanoate	ALE_octanoate_duplicates_122214	0.4702056289456619	2	OCTA5-4	E03
octanoate	ALE_octanoate_duplicates_122214	0.7230282750916134	2	OCTA7-9	F02
octanoate	ALE_octanoate_duplicates_122214	0.49168088799135673	1	OCTA5-4	B03
octanoate	ALE_octanoate_duplicates_122214	0.5013573051591387	3	OCTA2-16	F08
octanoate	ALE_octanoate_duplicates_122214	0.7211338516929512	2	OCTA7-10	F03
octanoate	ALE_octanoate_duplicates_122214	0.7362639820297231	1	OCTA4-13	B02
adipate	ALE_adipate_duplicates_091014	0.3294031276044539	1	ADIP2-10	A06
adipate	ALE_adipate_duplicates_091014	0.1527847518037093	2	MG1655	D01
adipate	ALE_adipate_duplicates_091014	0.18643009982369707	1	ADIP7-2	C01
adipate	ALE_adipate_duplicates_091014	0.2577619274326732	2	ADIP6-10	E08
adipate	ALE_adipate_duplicates_091014	0.3303853612760897	3	ADIP2-10	F07
adipate	ALE_adipate_duplicates_091014	0.27384212455799056	3	ADIP1-1	C06
adipate	ALE_adipate_duplicates_091014	0.12030091138991734	1	MG1655	A01
adipate	ALE_adipate_duplicates_091014	0.2630839421756665	2	ADIP6-9	E07
adipate	ALE_adipate_duplicates_091014	0.28325625955315886	2	ADIP6-3	E06
adipate	ALE_adipate_duplicates_091014	0.38490948135144576	1	ADIP5-2	B04
adipate	ALE_adipate_duplicates_091014	0.279906689520275	1	ADIP6-3	B06
adipate	ALE_adipate_duplicates_091014	0.34481369342004464	1	ADIP2-5	A04
adipate	ALE_adipate_duplicates_091014	0.20392694534352418	1	ADIP8-10	C05
adipate	ALE_adipate_duplicates_091014	0.303388273385974	1	ADIP3-4	A08
adipate	ALE_adipate_duplicates_091014	0.34517810448487024	1	ADIP1-1	A02
adipate	ALE_adipate_duplicates_091014	0.28651715110821446	1	ADIP7-5	C02
adipate	ALE_adipate_duplicates_091014	0.30644492244260896	1	ADIP2-6	A05
adipate	ALE_adipate_duplicates_091014	0.2825496799863492	1	ADIP3-2	A07
adipate	ALE_adipate_duplicates_091014	0.16684624528048378	2	ADIP7-2	F01
adipate	ALE_adipate_duplicates_091014	0.32195185667774834	2	ADIP3-4	D08
adipate	ALE_adipate_duplicates_091014	0.36631940335191493	2	ADIP4-1	E02
adipate	ALE_adipate_duplicates_091014	0.18254357351047565	2	ADIP8-10	F05
adipate	ALE_adipate_duplicates_091014	0.4037818798141888	2	ADIP5-2	E04
adipate	ALE_adipate_duplicates_091014	0.46553172680695276	1	ADIP5-6	B05
adipate	ALE_adipate_duplicates_091014	0.2717915205250307	3	ADIP1-9	C07
adipate	ALE_adipate_duplicates_091014	0.1980036107409492	2	ADIP8-7	F04
adipate	ALE_adipate_duplicates_091014	0.3797657331118713	2	ADIP2-6	D05
adipate	ALE_adipate_duplicates_091014	0.260895839694059	2	ADIP3-8	E01
adipate	ALE_adipate_duplicates_091014	0.21796066478855622	1	ADIP8-7	C04
adipate	ALE_adipate_duplicates_091014	0.3251099620109196	3	ADIP2-6	F06
adipate	ALE_adipate_duplicates_091014	0.32558165647835885	2	ADIP1-1	D02
adipate	ALE_adipate_duplicates_091014	0.2218856070989962	2	ADIP5-6	E05
adipate	ALE_adipate_duplicates_091014	0.3007690275676981	1	ADIP6-10	B08
adipate	ALE_adipate_duplicates_091014	0.3095459109331062	3	ADIP2-5	C08
adipate	ALE_adipate_duplicates_091014	0.299065578203061	1	ADIP3-8	B01
adipate	ALE_adipate_duplicates_091014	0.3170140393693802	2	ADIP2-10	D06
adipate	ALE_adipate_duplicates_091014	0.26171494544918256	2	ADIP1-9	D03
adipate	ALE_adipate_duplicates_091014	0.3405802068215679	2	ADIP2-5	D04
adipate	ALE_adipate_duplicates_091014	0.210195180822201	1	ADIP8-3	C03
adipate	ALE_adipate_duplicates_091014	0.2851270695153678	1	ADIP6-9	B07
adipate	ALE_adipate_duplicates_091014	0.29859347387203233	2	ADIP3-2	D07
adipate	ALE_adipate_duplicates_091014	0.2879029261021433	1	ADIP1-9	A03
adipate	ALE_adipate_duplicates_091014	0.31679941868912026	2	ADIP4-8	E03
adipate	ALE_adipate_duplicates_091014	0.2900790413467425	2	ADIP7-5	F02
adipate	ALE_adipate_duplicates_091014	0.32128687849588966	1	ADIP4-8	B03
adipate	ALE_adipate_duplicates_091014	0.30360910143599457	3	ADIP3-2	F08
adipate	ALE_adipate_duplicates_091014	0.18888493265017756	2	ADIP8-3	F03
adipate	ALE_adipate_duplicates_091014	0.31358528410647174	1	ADIP4-1	B02
